معضون	m ʌː z uː n
کلچر	k ʌ l t͡ʃ ʌ r
جزیرہ	d͡ʒ ʌ z iː r ʌ
عیسائی	ʌ iː s aː iː
کیئر	k eː ʌ r
انکڈل	ʌ n k ʌ d l
رفت	r ʌ f t
استفسار	ʌ s t ʌ f s aː r
فرار	f ʌ r aː r
عنقریب	ʌ n q r iː b
نطرثانی	n ʌ t̪ r s aː n iː
کاٹ	k aː t̪
ساڑھے	s aː r ʌ
مشائخ	m ʌ ʃ aː ɪ x
واڑی	ʋ aː r iː
بےدخلی	b eː d ʌ x l iː
پھیلاؤ	pʰ eː l aː o
میدان	m eː d aː n
پسینہ	p ʌ s iː n ʌ
ٹسکرس	t̪ ʌ s k r ʌ s
پجرنا	p ʌ d͡ʒ r n aː
کیمپ	k eː m p
کوشاں	k oː ʃ aː n
مصارف	m ʌ s aː r ʌ f
اٹاپٹو	ʌ t̪ aː p t̪ o
ایرانڈیا	ʌ iː r aː n d̪ iː aː
رب	r ʌ b
جوفری	d͡ʒ o f r iː
ناساز	n aː s aː z
ڈھانک	ɖʱ aː n k
ندیم	n ʌ d iː m
کروڑ	k ʌ r oː r
ترنمول	t̪ ʌ r n m oː l
قوانین	q ʌ ʋ aː n iː n
قدر	q ʌ d r
موجودہ	m oː d͡ʒ oː d̪ ʌ
ٹم	t̪ ʌ m
نائٹ	n aː iː t̪
ابیان	ʌ b iː aː n
لکشمی	l ʌ k ʃ m iː
ہومگارڈ	ɦ oː m g aː r ɖ
مینار	m iː n aː r
شیوشنکر	ʃ iː o ʃ n k r
فوارے	f ʋ aː r eː
مولین	m oː l iː n
زاید	z aː iː d
کھیلنا	kʰ eː l n aː
اوقاف	oː q aː f
غیرمعروف	ɣ eː r m ʌ ʌ r oː f
کڑپہ	k ʌ r p ʌ

    نکما	n ɪ k m ɑː
    ٹھیک	ʈʰ iː k
    نسق	n ɪ s q
    بہنا	b ə ɦ n ɑː
    دیویندر	d eɪ ʋ iː n d ə ɾ
    شاستر	ʃ ɑː s t̪ ə ɾ
    قدرے	q ɪ d ɾ eɪ
    مسٹرسنہا	m ɪ s ʈ ə ɾ s n ə ɦ ɑː
    مکھ	m ʊ kʰ
    جاسوس	d͡ʒ ɑː s uː s
    ڈیفنس	ɖ iː f n ɪ s
    کپڑا	k ə p ɽ ɑː
    خلل	x ʊ l l
    ساتویں	s ɑː t̪ oʊ ʋ eɪ n
    ارسال	ɪ ɾ s ɑː l
    ناتھولا	n ɑː t̪ʰ oʊ l ɑː
    کائنات	k ɑː ɪ n ɑː t̪
    عمری	ʕ ʊ m r iː
    الھند	ʔ ə l ɦ ɪ n d̪
    خریدوانا	x ə r iː d̪ ʋ ɑː n ɑː
    انٹرملان	ɪ n ʈ ə ɾ m ə l ɑː n
    قابلیت	q ɑː b l iː t̪
    اسپانچ	ɪ s p ɑː n t͡ʃ
    سکو	s ə k oʊ
    جائلس	d͡ʒ ɑː ɪ l s
    بوائز	b oʊ ɑː ɪ z
    رامچندر	ɾ ɑː m t͡ʃ ʊ n d̪ ə ɾ
    نانگل	n ɑː n ɡ ə l
    پڑ	p ɽ
    العبیدی	ʔ ə l ʕ ə b eɪ d̪ iː
    آٹو	ɑː ʈ oʊ
    تندور	t̪ ə n d̪ uː ɾ
    عینی	ʕ eɪ n iː
    بینالاقوامی	b eɪ n ɑː l ɑː q ʋ ɑː m iː
    جنم	d͡ʒ ə n m
    الیکٹریسٹی	ʔ ə l ɪ k ʈ ə r iː s t̪ iː
    ماچٹ	m ɑː t͡ʃ ʈ
    بیمار	b eɪ m ɑː ɾ
    بنگالی	b ə n ɡ ɑː l iː
    مارکس	m ɑː ɾ k s
    ندیم	n ə d̪ iː m
    پولیت	p oʊ l iː t̪
    مشائخ	m ʊ ʃ ɑː ɪ x
    محمدو	m ʊ ɦ ə m ə d̪ ʋ oʊ
    ران	ɾ ɑː n
    گولی	ɡ oʊ l iː
    اومیش	oʊ m iː ʃ
    اٹارنی	ɪ ʈ ɑː ɾ n iː
    خودمحتار	x ʊ d̪ m ʊ ɦ t̪ ɑː ɾ
    پرگنا	p ə ɾ ɡ n ɑː
پورکر	p ʊː r k ə r
جینت	d͡ʒ iː n t̪
تیکھا	t̪ iː kʰ ɑː
العبیدی	ʔ ə l ʕ ə b eː d̪ iː
پانڈے	p ɑː n ɖ eː
باولی	b ɑː ʋ oː l iː
ڈھا	ɖʱ ɑː
آغوش	ɑː ɣ ʊ ʃ
نثار	n ə s ɑː r
انڈر	ɪ n ɖ ə r
گروداس	ɡ ə r uː d̪ ɑː s
سندر	s ə n d̪ ə r
کینیڈانژاد	k eː n iː d̪ ɑː n ʒ ɑː d̪
یوں	j ʊː n
شکایات	ʃ iː k ɑː j ɑː t̪
انشورنس	ɪ n ʃ ʊ r ə n s
بایزید	b ɑː j z iː d̪
تولہ	t̪ ʊː l ɑː
اورنمائش	ɔː r n ə m ɑː ɪ ʃ
سائبرٹاورس	s ɑː ɪ b ə r ʈ ɔː r s
ڈگیس	ɖ ɪ ɡ iː s
ہاشمی	ɦ ɑː ʃ m iː
لٹیرا	l ʈ iː r ɑː
تقلید	t̪ ə q l iː d̪
مصنوعات	m ʊ s n ʊː ʕ ɑː t̪
شاپر	ʃ ɑː p ə r
ایکشن	ɛː k ʃ ə n
پورہ	p ʊː r ɑː
پرتگیا	p ə r t̪ ɪ ɡ j ɑː
خواہشمند	x ʋ ɑː ɦ ɪ ʃ m ə n d̪
لکشمن	l ə k ʃ m ə n
احمد	ʔ ə ɦ m ə d̪
سیرت	s iː r ə t̪
نکتہ	n ə k t̪ ɑː
عارضی	ʕ ɑː r ɪ d̪ z iː
تعمیری	t̪ ʕ ə m iː r iː
گردن	ɡ ə r d̪ ə n
شین	ʃ iː n
گھڑی	ɡʱ ə ɽ iː
جنوری	d͡ʒ ə n ʊː r iː
نافذ	n ɑː f ɪ z
ناراض	n ɑː r ɑː z
حقیئقت	ɦ ə q iː q ə t̪
جھک	d͡ʒʱ ʊ k
میتو	m iː t̪ ʊ
آرزو	ɑː r z ʊ
عبدالحمید	ʕ ə b d̪ ə l ɦ ə m iː d̪
جہاز	d͡ʒ ə ɦ ɑː z
کیوں	k j ʊː n
کاپی	k ɑː p iː

    نافذ	n ɑː f ɪ z
    نمائندہ	n ʊ m ɑː ɪ n d̪ ə
    رکھا	ɾ ʊ kʰ ɑː
    کاپی	k ɑː p iː
    انجانا	ɪ n d͡ʒ ɑː n ɑː
    بارہا	b ɑː ɾ ɦ ɑː
    اسپیشلسٹ	ɪ s p iː ʃ ʊ l s ʊ t̪
    تخلیہ	t̪ ʊ x l iː ɦ ɑː
    نااہلیت	n ɑː ɑː ɦ l iː t̪
    ویرنمنٹ	ʋ iː ɾ n ʊ m ʊ n t̪
    انوکھا	ɪ n ʊ kʰ ɑː
    طرابلس	t̪ ɾ ɑː b ʊ l s
    افرادی	ɑː f ɾ ɑː d̪ iː
    نمائندگان	n ʊ m ɑː ɪ n d̪ ɡ ɑː n
    دھرتی	d̪ ʊ ɾ t̪ iː
    نالے	n ɑː l eː
    فضاء	f ɪ z ɑː
    برطانوی	b ɾ ɪ t̪ ɑː n ʋ iː
    نردوش	n ʊ ɾ d̪ ʊ ʃ
    درشی	d̪ ʊ ɾ ʃ iː
    ٹینڈرس	ʈ eː n d̪ ʊ ɾ s
    ریکارڈز	ɾ eː k ɑː ɾ d̪ z
    مہنگی	m ʊ ɦ n ɡ iː
    چدمبرم	t͡ʃ ʊ d̪ m b ʊ ɾ m
    اوباما	ɔː b ɑː m ɑː
    پرفتن	p ʊ ɾ f t̪ ʊ n
    تماشہ	t̪ ʊ m ɑː ʃ ɑː
    سائبان	s ɑː ɪ b ɑː n
    ایمباسیٹرس	ɪ m b ɑː s iː ʈ ʊ ɾ s
    میڑچل	m eː ɽ t͡ʃ ʊ l
    ٹرانسکو	ʈ ɾ ɑː n s k ʊ
    مشکور	m ʊ ʃ k ʊ ɾ
    طورپر	t̪ ʊ ɾ p ʊ ɾ
    دکن	d̪ ʊ k n
    مانکیا	m ɑː n k iː ɑː
    غلبہ	ɣ ʊ l b ɑː
    آشکارا	ɑː ʃ k ɑː ɾ ɑː
    فوجداری	f ʊ d͡ʒ d̪ ɑː ɾ iː
    زبردستی	z ʊ b ɾ d̪ ʊ s t̪ iː
    چیارٹیبل	t͡ʃ iː ɑː ɾ ʈ iː b ʊ l
    نوموہیون	n ʊ m ʊ ɦ iː ʊ n
    معمولی	m ʊ ʔ m ʊ l iː
    سہولت	s ʊ ɦ ʊ l t̪
    مجیب	m ʊ d͡ʒ iː b
    مقصدبراری	m ʊ q s ʊ d̪ b ɾ ɑː ɾ iː
    ریکارڈز	ɾ eː k ɑː ɾ d̪ z
    میٹروپولیٹن	m eː ʈ ɾ ʊ p ʊ l iː ʈ ʊ n
    باقاعدہ	b ɑː q ɑː ɪ d̪ ɑː
    پان	p ɑː n
    بموجب	b ʊ m ʊ d͡ʒ b
روٹس	r oː ʈ s
پرفل	p ə r f ə l
ڈابسن	ɖ ɑː b s ə n
فوری	f ɔː r iː
فعالیت	f ʕ ɑː l iː t̪
کشتی	k ə ʃ t̪ iː
سمکھ	s ə m kʰ
عادل	ʕ ɑː d ə l
اشکینازی	ə ʃ k iː n ɑː z iː
خداوندی	x ʊ d ɑː ʋ ə n d̪ iː
خودمحتار	x ʊ d m ʊ h t̪ ɑː r
اودھاؤ	ɑː ʋ d̪ʱ ɑː ʊ
امتحان	ʊ m t̪ ɪ ɦ ɑː n
نند	n ə n d̪
گزشتہ	ɡ ʊ z ʃ t̪ ɑː
سبقت	s ə b q ə t̪
ندیاں	n ə d̪ iː ɑː n
مکتوب	m ʊ k t̪ uː b
عنقریب	ʕ ɪ n q ə r iː b
چاہیئے	t͡ʃ ɑː ɦ iː ə
كا	k ɑː
کروڑ	k ə r oː ɽ
دخل	d̪ ə x ə l
دھمکا	d̪ʱ ʊ m k ɑː
واڑی	ʋ ɑː ɽ iː
بجٹ	b ə d͡ʒ ʈ
تعمیراتی	t̪ ʕ ə m iː r ɑː t̪ iː
ٹھکانا	ʈʰ ə k ɑː n ɑː
نافذ	n ɑː f ɪ z
محروسی	m ʊ ɦ r uː s iː
عناصر	ʕ ɪ n ɑː s ə r
سمترا	s ə m t̪ r ɑː
ڈھانک	ɖʱ ɑː n k
آیوکت	ɑː j oː k t̪
المقدس	ʔ ə l m ʊ q d̪ ə s
درگاہ	d̪ ə r ɡ ɑː ɦ
عیادت	ʕ iː ɑː d̪ ə t̪
شوارع	ʃ ʊ ɑː r ʕ
سوکھ	s ʊ kʰ
اجناس	ə d͡ʒ n ɑː s
توجہی	t̪ ʊ d͡ʒ ɦ iː
مہاراشٹر	m ə ɦ ɑː r ɑː ʃ ʈ ə r
ہسپانیہ	ɦ ə s p ɑː n iː ɑː
مترا	m ə t̪ r ɑː
اٹارنی	ɑː ʈ ɑː r n iː
مذکور	m ʊ z k ʊ r
پار	p ɑː r
نور	n ʊ r
اسکام	ə s k ɑː m
سینکڑہ	s eː n k ɽ ə ɦ
معصوم	m ʕ ʊː s uː m
کمائی	k ʊ m ɑː ɪ
لامتناہی	l ɑː m t̪ n ɑː ɦ iː
نظرانداز	n ʊ z ɾ ɑː n d̪ ɑː z
الیکٹریسٹی	ə l j ɛ k t̪ ɾ ɪ s t̪ iː
ایل	ɛː l
مچھلی	m ʊ t͡ʃʰ l iː
فلاحی	f l ɑː ɦ iː
جینت	d͡ʒ iː n t̪
ارش	ɑː ɾ ʃ
انڈیوگونزیلویس	ɪ n d̪ iː oː g oː n z iː l oː v iː s
الوداع	ə l v ɪ d̪ ɑː ɪ
جائزہ	d͡ʒ ɑː ɪ z ə
تمام۔تر	t̪ ʊ m ɑː m t̪ ɾ
الیکٹرولائٹ	ə l j ɛ k t̪ ɾ oː l ɑː ɪ t̪
پہن	p ɛː n
چوبیس	t͡ʃ oː b iː s
سترویں	s t̪ ɾ oː v eː n
بیورو	b j ʊ ɾ oː
انہوں	ɪ n ɦ oː n
گولمیز	g oː l m iː z
پار	p ɑː ɾ
مراکیش	m ɾ ɑː k ɛː ʃ
