холандски	x o ɫ a n t s kʲ i
литература	lʲ i t ɛ r ɐ t u r ɐ
браташ	b r ɐ t a ʃ
овластителен	o v ɫ ɐ s t i t ɛ lʲ ɛ n
родител	r o d i t ɛ ɫ
осип	ɔ s i p
лабилен	ɫ ɐ b i lʲ ɛ n
причина	p r i t͡ʃ i n ɐ
саламандър	s ɐ ɫ ɐ m a n d ɐ r
изплаша	i s p ɫ a ʃ ɐ
ветрилник	v ɛ t r i ɫ n i k
легла	lʲ ɛ ɡ ɫ a
лакът	ɫ a k ɐ t
липа	lʲ i p a
съзра	s ɐ z r ɤ
гърне	ɡ ɐ r n ɛ
сервитьор	s ɛ r v i tʲ ɔ r
кръсточовка	k r ɐ s t o t͡ʃ ɔ f k ɐ
тревист	t r ɛ v i s t
арамия	ɐ r ɐ m i j ɐ
мренията	m r ɛ n i j ɐ t ɐ
кубатура	k u b ɐ t u r ɐ
чупя	t͡ʃ u pʲ ɐ
нито	n i t o
пърдя	p ɐ r dʲ a
състояние	s ɐ s t o j a n i ɛ
викам	v i k ɐ m
борец	b o r ɛ t͡s
мерзък	m ɛ r z ɐ k
хидроелектричен	xʲ i d r o ɛ lʲ ɛ k t r i t͡ʃ ɛ n
науча	n ɐ u t͡ʃ ɐ
внимателно	v n i m a t ɛ ɫ n o
диона	d i ɔ n ɐ
координационен	k o o r d i n ɐ t͡s i ɔ n ɛ n
артикулационен	ɐ r t i k u ɫ ɐ t͡s i ɔ n ɛ n
тишина	t i ʃ i n a
иман	i m ɐ n
пренасям	p r ɛ n a sʲ ɐ m
събудя	s ɐ b u dʲ ɐ
хомосексуалистка	x ɔ m o s ɛ k s u ɐ lʲ i s k ɐ
морелетник	m o r ɛ lʲ ɛ t n i k
панпсихизъм	p ɐ n p s i xʲ i z ɐ m
революция	r ɛ v o lʲ u t͡s i j ɐ
женски	ʒ ɛ n s kʲ i
обещавам	o b ɛ ʃ t a v ɐ m
интернет	i n t ɛ r n ɛ t
пушене	p u ʃ ɛ n ɛ
абанос	ɐ b ɐ n ɔ s
кои	k o i
без	b ɛ s
улица	u lʲ i t͡s ɐ
знаме	z n a m ɛ
вашта	v a ʃ t ɐ
фенер	f ɛ n ɛ r
че	t͡ʃ ɛ
туркменистан	t u r k m ɛ n i s t a n
къжлица	k ɐ ʒ lʲ i t͡s ɐ
икономически	i k o n o m i t͡ʃ ɛ s kʲ i
узаконявала	u z ɐ k o nʲ a v ɐ ɫ ɐ
бида	b i d ɐ
материя	m ɐ t ɛ r i j ɐ
узаконява	u z ɐ k o nʲ a v ɐ
изгледам	i z ɡ lʲ ɛ d ɐ m
узаконяваха	u z ɐ k o nʲ a v ɐ x ɐ
козодой	k o z o d ɔ j
присое	p r i s ɔ ɛ
прекаля	p r ɛ k ɐ lʲ ɤ
витег	v i t ɛ k
низина	n i z i n a
климатик	k lʲ i m ɐ t i k
навътре	n ɐ v ɤ t r ɛ
хлабав	x ɫ ɐ b a f
мезе	m ɛ z ɛ
биха	b i x ɐ
пернат	p ɛ r n a t
щелите	ʃ t ɛ lʲ i t ɛ
например	n ɐ p r i m ɛ r
гъркиня	ɡ ɐ r kʲ i nʲ ɐ
зрян	z rʲ a n
лавка	ɫ a f k ɐ
течен	t ɛ t͡ʃ ɛ n
телесен	t ɛ lʲ ɛ s ɛ n
андора	ɐ n d ɔ r ɐ
бегъл	b ɛ ɡ ɐ ɫ
стръмнина	s t r ɐ m n i n a
разсед	r ɐ s s ɛ t
работилница	r ɐ b o t i ɫ n i t͡s ɐ
набожен	n ɐ b ɔ ʒ ɛ n
спален	s p a lʲ ɛ n
сочен	s ɔ t͡ʃ ɛ n
съобщавам	s ɐ o p ʃ t a v ɐ m
обоснова	o b o s n o v a
над	n a t
нанасям	n ɐ n a sʲ ɐ m
върху	v ɐ r x u
плевен	p lʲ ɛ v ɛ n
яйчен	j a j t͡ʃ ɛ n
продавач	p r o d ɐ v a t͡ʃ
друг	d r u k
назад	n ɐ z a t
синкав	s i n k ɐ f
съветвам	s ɐ v ɛ t v ɐ m
драка	d r a k ɐ
ропот	r ɔ p o t
мамин	m a m i n
немощност	n ɛ m o ʃ n o s t
цезий	t͡s ɛ z i
зъл	z ɤ ɫ
начало	n ɐ t͡ʃ a ɫ o
надебелявам	n ɐ d ɛ b ɛ lʲ a v ɐ m
цупят	t͡s u pʲ ɐ t
ездачка	ɛ z d a t͡ʃ k ɐ
наведе	n ɐ v ɛ d ɛ
ябълка	j a b ɐ ɫ k ɐ
петдесет	p ɛ d d ɛ s ɛ t
любопитство	lʲ u b o p i t s t v o
самарий	s ɐ m a r i
тука	t u k ɐ
хербарий	xʲ ɛ r b a r i
принцеса	p r i n t͡s ɛ s ɐ
абатския	ɐ b a t s kʲ i j ɐ
глобя	ɡ ɫ o bʲ ɤ
протека	p r o t ɛ k ɤ
скрия	s k r i j ɐ
ценен	t͡s ɛ n ɛ n
чучулига	t͡ʃ u t͡ʃ u lʲ i ɡ ɐ
мухоловка	m u x o ɫ ɔ f k ɐ
париж	p ɐ r i ʃ
примирам	p r i m i r ɐ m
