охра	ɔ x r ɐ
замовити	z ɐ m ɔ ʋ e t e
наркозалежний	n ɐ r k ɔ z ɐ ɫ ɛ ʒ n e i̯
восьмисотий	w ɔ sʲ m e s ɔ t e i̯
макові	m ɑ k ɔ ʋʲ i
пінистий	pʲ i n e s t e i̯
шиям	ʃ ɪ j ɐ m
працівником	p r ɐ t͡sʲ i u̯ n e k ɔ m
слуховий	s ɫ ʊ x ɔ ʋ ɪ i̯
фінляндський	fʲ i nʲ lʲ ɑ n d͡zʲ sʲ k e i̯
бетономішалка	b e t ɔ n ɔ mʲ i ʃ ɑ ɫ k ɐ
неймовірний	n e i̯ m ɔ ʋʲ i r n e i̯
заявити	z ɐ j ɐ ʋ ɪ t e
істеричний	i s t e r ɪ t͡ʃ n e i̯
кубинець	k ʊ b ɪ n e t͡sʲ
того	t ɔ ɦ ɔ
дефект	d e f ɛ k t
доречний	d ɔ r ɛ t͡ʃ n e i̯
важко	ʋ ɑ ʒ k ɔ
шовковий	ʃ ɔ u̯ k ɔ ʋ e i̯
обчислювати	ɔ b t͡ʃ ɪ sʲ lʲ ʊ ʋ ɐ t e
мінімум	mʲ i nʲ i m ʊ m
вигідний	ʋ ɪ ɦʲ i d n e i̯
трагедій	t r ɐ ɦ ɛ dʲ i i̯
погрозити	p ɔ ɦ r ɔ z ɪ t e
кажучи	k ɑ ʒ ʊ t͡ʃ e
михаїл	m e x ɐ j i ɫ
польща	p ɔ lʲ ʃ t͡ʃ ɐ
шумний	ʃ u m n e i̯
реконструкція	r e k o n s t r u k t͡sʲ i j ɐ
станцією	s t ɑ nʲ t͡sʲ i j e j ʊ
емігрувати	e mʲ i ɦ r ʊ ʋ ɑ t e
інтенсивність	i n t e n s ɪ u̯ nʲ i sʲ tʲ
волейболістка	w ɔ ɫ e i̯ b o lʲ i s t k ɐ
змій	zʲ mʲ i i̯
дерев'яний	d e r e ʋ j ɑ n e i̯
свояк	s w ɔ j ɑ k
споживача	s p ɔ ʒ e ʋ ɐ t͡ʃ ɑ
прикро	p r ɪ k r ɔ
повість	p ɔ ʋʲ i sʲ tʲ
сестрице	s e s t r ɪ t͡s e
дисертацію	d e s e r t ɑ t͡sʲ i j ʊ
дзьоб	d͡zʲ ɔ b
дитята	d e tʲ ɑ t ɐ
гель	ɦ ɛ lʲ
вівтарний	ʋʲ i u̯ t ɐ r n e i̯
слов'янко	s ɫ ɔ ʋ j ɑ n k ɔ
лом	ɫ ɔ m
сказати	s k ɐ z ɑ t e
виростати	ʋ e r ɔ s t ɑ t e
природничий	p r e r ɔ d n ɪ t͡ʃ e i̯
мрія	m rʲ i j ɐ
чорних	t͡ʃ ɔ r n e x
ворожість	w ɔ r ɔ ʒʲ i sʲ tʲ
арістотель	ɐ rʲ i s t ɔ t e lʲ
час	t͡ʃ ɑ s
переглянути	p e r e ɦ lʲ ɑ n ʊ t e
повставати	p ɔ u̯ s t ɐ ʋ ɑ t e
довг	d ɔ u̯ ɦ
суб'єкт	s ʊ b j ɛ k t
коровай	k ɔ r ɔ ʋ ɑ i̯
авіасалон	ɐ ʋʲ i ɐ s ɐ ɫ ɔ n
захист	z ɑ x e s t
є	j ɛ
термометр	t e r m ɔ m e t r
оповідання	ɔ p ɔ ʋʲ i d ɑ nʲː ɐ
