трахнусь	t r a x n u sʲ
явственно	j a f s t vʲ i n a
разбродом	r a z b r o d a m
гомер	ɡ a mʲ e r
параллелен	p a r a lʲ e lʲ i n
виолончелях	vʲ i a ɫ a nʲ t͡ɕ e lʲ a x
сплетавший	s p lʲ i t a f ʂ i j
вламывалось	v ɫ a m i v a ɫ a sʲ
нёсши	nʲ o ʂ i
сканировало	s k a nʲ i r a v a ɫ a
усыновляйте	u s i n a v lʲ a j tʲ e
поросла	p a r a s ɫ a
рентабельность	rʲ i n t a bʲ i lʲ n a sʲ tʲ
льда	lʲ d a
прозвучишь	p r a z v u t͡ɕ i ʂ
наморщите	n a m o r ɕː i tʲ e
пристёгивай	p rʲ i sʲ tʲ o ɡʲ i v a j
маузеры	m a u z i r i
расхлёбываем	r a s x lʲ o b i v a j i m
вставило	f s t a vʲ i ɫ a
сатирах	s a tʲ i r a x
додумаешься	d a d u m a j i ʂ sʲ a
ремиксов	rʲ i mʲ i k s a f
залепляю	z a lʲ i p lʲ a j u
рассекретьте	r a sʲ i k rʲ e tʲː e
абсорбированиями	a p s a r bʲ i r a v a nʲ i j a mʲ i
котдивуарцев	k o dʲ i v u a r t͡s i f
вертунах	vʲ i r t u n a x
попыталось	p a p i t a ɫ a sʲ
закипятив	z a kʲ i pʲ i tʲ i f
синтетику	sʲ i n t e tʲ i k u
маточный	m a t a t͡ɕ n i j
плавкою	p ɫ a f k a j u
колыхав	k a ɫ i x a f
выразивший	v i r a zʲ i f ʂ i j
зашумит	z a ʂ u mʲ i t
пустякам	p u sʲ tʲ i k a m
мужененавистничествам	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
золотистым	z a ɫ a tʲ i s t i m
возглавляемый	v a z ɡ ɫ a v lʲ a j i m i j
катерочках	k a tʲ i r o t͡ɕ k a x
воевод	v a j i v o t
смеялось	s mʲ i j a ɫ a sʲ
замыслу	z a m i s ɫ u
слизняку	s ⁽ʲ ⁾ lʲ i zʲ nʲ i k u
семиугольника	sʲ i mʲ i u ɡ o lʲ nʲ i k a
защищаетесь	z a ɕː i ɕː a j i tʲ i sʲ
присягнувши	p rʲ i sʲ i ɡ n u f ʂ i
поносят	p a n o sʲ a t
необязательно	nʲ i a bʲ i z a tʲ i lʲ n a
растворителя	r a s t v a rʲ i tʲ i lʲ a
понудь	p a n u tʲ
истязанием	i sʲ tʲ i z a nʲ i j i m
изучитесь	i z u t͡ɕ i tʲ i sʲ
испуги	i s p u ɡʲ i
помойкою	p a m o j k a j u
облицевали	a b lʲ i t͡s i v a lʲ i
англицизациею	a n ɡ lʲ i t͡s i z a t͡s i j i j u
прыщавый	p r i ɕː a v i j
гектоваттов	ɡʲ i k t a v a t a f
усопла	u s o p ɫ a
затаптывавши	z a t a p t i v a f ʂ i
верны	vʲ e r n i
созналось	s a z n a ɫ a sʲ
красно	k r a s n a
пойл	p o j ɫ
полетать	p a lʲ i t a tʲ
рассказало	r a s k a z a ɫ a
укутывающий	u k u t i v a j u ɕː i j
ознакомляемся	a z n a k a m lʲ a j i m sʲ a
надоедал	n a d a j i d a ɫ
муруй	m u r u j
суммируешь	s u mʲ i r u j i ʂ
таскавшись	t a s k a f ʂ i sʲ
секта	sʲ e k t a
сынок	s i n o k
воздевший	v a zʲ dʲ e f ʂ i j
шагни	ʂ a ɡ nʲ i
заклейте	z a k lʲ e j tʲ e
посмеяться	p a s mʲ i j a t͡s a
старухой	s t a r u x a j
амилазой	a mʲ i ɫ a z a j
посодействовать	p a s a dʲ e j s t v a v a tʲ
опьянивший	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
понадеются	p a n a dʲ e j u t͡s a
утята	u tʲ a t a
списаний	s pʲ i s a nʲ i j
удалённостями	u d a lʲ o n a sʲ tʲ a mʲ i
трудясь	t r u dʲ a sʲ
заговаривайтесь	z a ɡ a v a rʲ i v a j tʲ i sʲ
ужесточения	u ʐ i s t a t͡ɕ e nʲ i j a
музыкою	m u z i k a j u
запирало	z a pʲ i r a ɫ a
расправах	r a s p r a v a x
совещаешься	s a vʲ i ɕː a j i ʂ sʲ a
годы	ɡ o d i
дизентериею	dʲ i zʲ i nʲ tʲ i rʲ i j i j u
проигрывал	p r a i ɡ r i v a ɫ
общагою	a p ɕː a ɡ a j u
летный	lʲ e t n i j
дубу	d u b u
патриарший	p a t rʲ i a r ʂ i j
загадит	z a ɡ a dʲ i t
пропитайтесь	p r a pʲ i t a j tʲ i sʲ
рдев	r dʲ e f
культурностей	k u lʲ t u r n a sʲ tʲ i j
разомлеваешь	r a z a m lʲ i v a j i ʂ
граничила	ɡ r a nʲ i t͡ɕ i ɫ a
акмеизма	a k mʲ i i z m a
померещишься	p a mʲ i rʲ e ɕː i ʂ sʲ a
знаменованный	z n a mʲ i n o v a n i j
отсчётах	a t͡ɕ ɕː o t a x
осклабила	a s k ɫ a bʲ i ɫ a
многословием	m n a ɡ a s ɫ o vʲ i j i m
отопрём	a t a p rʲ o m
ослабнет	a s ɫ a b nʲ i t
десницу	dʲ i sʲ nʲ i t͡s u
повторяющийся	p a f t a rʲ a j u ɕː i j sʲ a
обуевала	a b u j i v a ɫ a
сочувствовала	s a t͡ɕ u s t v a v a ɫ a
обручайте	a b r u t͡ɕ a j tʲ e
взведите	v z vʲ i dʲ i tʲ e
прилетаю	p rʲ i lʲ i t a j u
певчих	pʲ e f t͡ɕ i x
вертлуг	vʲ i r t ɫ u k
похоронят	p a x a r o nʲ a t
заевши	z a j e f ʂ i
приземлилась	p rʲ i zʲ i m lʲ i ɫ a sʲ
навевавший	n a vʲ i v a f ʂ i j
основе	a s n o vʲ e
полиграфиях	p a lʲ i ɡ r a fʲ i j a x
нанимает	n a nʲ i m a j i t
моделировали	m a d i lʲ i r a v a lʲ i
наследстве	n a s ⁽ʲ ⁾ lʲ e t͡s t vʲ e
харь	x a rʲ
хмурю	x m u rʲ u
развеивавши	r a z vʲ e i v a f ʂ i
западаешь	z a p a d a j i ʂ
дозрею	d a z rʲ e j u
спорткомплексах	s p o r t k o m p lʲ i k s a x
сотри	s a t rʲ i
инфраструктурами	i n f r a s t r u k t u r a mʲ i
натовский	n a t a f s kʲ i j
расхаживав	r a s x a ʐ i v a f
щитам	ɕː i t a m
стилисту	sʲ tʲ i lʲ i s t u
взыскиваете	v z i s kʲ i v a j i tʲ e
механизации	mʲ i x a nʲ i z a t͡s i i
проститутки	p r a sʲ tʲ i t u t kʲ i
попками	p o p k a mʲ i
изъянами	i z j a n a mʲ i
выпрямлявший	v i p rʲ i m lʲ a f ʂ i j
вдохнули	v d a x n u lʲ i
клюсям	k lʲ u sʲ a m
воспетый	v a s pʲ e t i j
разглядите	r a z ɡ lʲ i dʲ i tʲ e
метафизику	mʲ i t a fʲ i zʲ i k u
видеозапись	vʲ i dʲ i o z a pʲ i sʲ
веселеешь	vʲ i sʲ i lʲ e j i ʂ
мыслятся	m i s ⁽ʲ ⁾ lʲ a t͡s a
технократию	tʲ i x n a k r a tʲ i j u
пригородом	p rʲ i ɡ a r a d a m
пионеров	pʲ i a nʲ e r a f
поручительством	p a r u t͡ɕ i tʲ i lʲ s t v a m
гостьях	ɡ o sʲ tʲ j a x
кьят	kʲ j a t
вонзаешь	v a n z a j i ʂ
бестолочь	bʲ e s t a ɫ a t͡ɕ
обхватов	a p x v a t a f
подтягиваюсь	p a tʲː a ɡʲ i v a j u sʲ
присчитывай	p rʲ i ɕː i t i v a j
флейтами	f lʲ e j t a mʲ i
оттаяло	a t a j i ɫ a
рутиною	r u tʲ i n a j u
ски	s kʲ i
разворачиваю	r a z v a r a t͡ɕ i v a j u
монотонность	m a n a t o n a sʲ tʲ
флексией	f lʲ e k sʲ i j i j
толстячку	t a ɫ s ⁽ʲ ⁾ tʲ i t͡ɕ k u
опушалась	a p u ʂ a ɫ a sʲ
чулок	t͡ɕ u ɫ o k
потасовками	p a t a s o f k a mʲ i
поклонничество	p a k ɫ o nʲ i t͡ɕ i s t v a
добавляться	d a b a v lʲ a t͡s a
объезжав	a b j i ʐ a f
обгрызаем	a b ɡ r i z a j i m
равнодушию	r a v n a d u ʂ i j u
ку	k u
буксы	b u k s i
обакш	a b a k ʂ
аблаутов	a b ɫ a u t a f
абсолютизированиях	a p s a lʲ u tʲ i zʲ i r a v a nʲ i j a x
заседатели	z a sʲ i d a tʲ i lʲ i
отекаю	a tʲ i k a j u
выхаживаем	v i x a ʐ i v a j i m
почуете	p a t͡ɕ u j i tʲ e
оцепляете	a t͡s i pʲ a j i tʲ e
хрестоматий	x rʲ i s t a m a tʲ i j
стипендий	sʲ tʲ i pʲ e nʲ dʲ i j
сироты	sʲ i r o t i
однообразиям	a d n a a b r a zʲ i j a m
кромкой	k r o m k a j
всматриваешься	f s m a t rʲ i v a j i ʂ sʲ a
устраним	u s t r a nʲ i m
минчанками	mʲ i nʲ t͡ɕ a n k a mʲ i
агорафобиею	a ɡ a r a f o bʲ i j i j u
мачизмов	m a t͡ɕ i z m a f
вляпался	v lʲ a p a ɫ s ⁽ʲ ⁾ a
сенокосец	sʲ i n a k o sʲ i t͡s
подослало	p a d a s ɫ a ɫ a
накачавший	n a k a t͡ɕ a f ʂ i j
троичный	t r o i t͡ɕ n i j
мочевина	m a t͡ɕ i vʲ i n a
уверовать	u vʲ e r a v a tʲ
тонею	t o nʲ i j u
дождичкам	d o ʐ dʲ i t͡ɕ k a m
тускневши	t u s k nʲ e f ʂ i
прокалываешь	p r a k a ɫ i v a j i ʂ
сконфузят	s k a n f u zʲ a t
заставав	z a s t a v a f
извиняли	i z vʲ i nʲ a lʲ i
втаскивали	f t a s kʲ i v a lʲ i
простроилось	p r a s t r o i ɫ a sʲ
исключился	i s k lʲ u t͡ɕ i ɫ s ⁽ʲ ⁾ a
намок	n a m o k
дорыла	d a r i ɫ a
пофигизмами	p a fʲ i ɡʲ i z m a mʲ i
врезаешься	v rʲ i z a j i ʂ sʲ a
мурзиками	m u r zʲ i k a mʲ i
реквизициями	rʲ i k vʲ i zʲ i t͡s i j a mʲ i
кольчугами	k a lʲ t͡ɕ u ɡ a mʲ i
сжимав	ʐ i m a f
шоссейник	ʂ a s e j nʲ i k
бривший	b rʲ i f ʂ i j
администрациях	a d mʲ i nʲ i s t r a t͡s i j a x
мале	m a lʲ e
стерпеть	sʲ tʲ i r pʲ e tʲ
оттащила	a t a ɕː i ɫ a
сроднивший	s r a dʲ nʲ i f ʂ i j
выплативший	v i p ɫ a tʲ i f ʂ i j
забрызжите	z a b r i ʐ i tʲ e
откатившись	a t k a tʲ i f ʂ i sʲ
разгибаться	r a z ɡʲ i b a t͡s a
отыгрывалось	a t i ɡ r i v a ɫ a sʲ
щепок	ɕː e p a k
вальцу	v a lʲ t͡s u
шахназаров	ʂ a x n a z a r a f
прояснениями	p r a j i sʲ nʲ e nʲ i j a mʲ i
недолюбливайте	nʲ i d a lʲ u b lʲ i v a j tʲ e
напоролся	n a p a r o ɫ s ⁽ʲ ⁾ a
множится	m n o ʐ i t͡s a
нарды	n a r d i
истеки	i sʲ tʲ i kʲ i
местничество	mʲ e sʲ nʲ i t͡ɕ i s t v a
сквозняке	s k v a zʲ nʲ i kʲ e
правоохранительный	p r a v a a x r a nʲ i tʲ i lʲ n i j
прочувствовало	p r a t͡ɕ u s t v a v a ɫ a
пастеризациею	p a s t i rʲ i z a t͡s i j i j u
выскабливая	v i s k a b lʲ i v a j a
надрывало	n a d r i v a ɫ a
опекунами	a pʲ i k u n a mʲ i
извиняй	i z vʲ i nʲ a j
виноградинами	vʲ i n a ɡ r a dʲ i n a mʲ i
аудите	a u dʲ i tʲ e
дальнобойщиках	d a lʲ n a b o j ɕː i k a x
обвил	a b vʲ i ɫ
шепнув	ʂ i p n u f
крупинкой	k r u pʲ i n k a j
скалишь	s k a lʲ i ʂ
горкой	ɡ o r k a j
постукивающий	p a s t u kʲ i v a j u ɕː i j
хлопоты	x ɫ o p a t i
соус	s o u s
флексийный	f lʲ i k sʲ i j n i j
святою	s vʲ i t o j u
берестов	bʲ e rʲ i s t a f
изодрали	i z a d r a lʲ i
костры	k a s t r i
убирайте	u bʲ i r a j tʲ e
бодрства	b o d r s t v a
ухожено	u x o ʐ i n a
свалками	s v a ɫ k a mʲ i
кастаньеты	k a s t a nʲ j e t i
нажрёмся	n a ʐ rʲ o m sʲ a
хождении	x a ʐ dʲ e nʲ i i
распаривало	r a s p a rʲ i v a ɫ a
грызло	ɡ r i z ɫ a
тезисов	t e zʲ i s a f
сомнёмся	s a m nʲ o m sʲ a
пуншах	p u n ʂ a x
