चपेटा	t͡ʃʌpʌʈʌ
क्रमागत	kʌɾʌmʌɡʌt
ठेक्‍का	ʈʰʌkʌkʌ
गृष्म	ɡʌɾɪʃʌm
उष्ण	uʂʌɳ
भाक्	bʱʌk
कुच्चे	kʌt͡ʃt͡ʃʌ
सद्‌गुरु	sʌdʌɡʌɾʌ
आइडल	ʌʌɪɖʌl
मदिरा	mʌdɪɾʌ
तड्प	tʌɖp
चस्मदिद	t͡ʃʌsmʌdɪd
छुरो	t͡ʃʌɾʌ
ख्याति	kʌjʌʈɪ
ठन्डा	ʈʰʌnɖʌ
आनुश्राविक	ʌʌnʌʃɾʌʌvɪk
द्वैपायन	dʌʌɪpʌʌjʌn
सिम्टा	sɪmʈʌ
हिमालचुली	ɦɪmʌʌlʌt͡ʃʌlɪ
चमचम	t͡ʃʌmt͡ʃʌm
रतन	ɾʌtʌn
टुङ्‍ना	ʈʌŋʌ
अप्रेशन	ʌpɾʌʃʌn
कठोरपन	kʌʈʰʌɾʌpʌn
टेलिस्कोप	ʈʌlɪskʌp
कुर्ची	kʌɾt͡ʃɪ
झोक्का	d͡zʌʌkʌ
बन्दीघर	bʌndɪɡʌɾ
ऐन	ʌɪn
पुकपाक	pʌkpʌk
मूर्ति	mʌʌɾtɪ
अकथनिय	ʌkʌtʰʌnɪj
धिक्कार	dʌɦɪkʌʌɾ
रामेश्वर	ɾʌʌmʌʃʌʋʌɾ
सराइ	sʌɾʌʌɪ
उल्लिखित	uʌlɪkʌɪt
परख	pʌɾʌkʌ
सायुज्य	sʌʌjʌd͡zʌj
किफाएति	kɪfʌʌʌɪtɪ
समर	sʌmʌɾ
तार्	tʌʌɾ
विदुर	ʋɪdʌɾ
जटित	d͡zʌʈɪt
गोप्यता	ɡʌʌpjʌtʌ
घरपरिवार	ɡʌɾpʌɾɪʋʌɾ
जातीय	d͡zʌʌtɪj
जलाम्मे	d͡zʌlʌʌmʌ
अनृतवादी	ʌnʌɾɪtʌʋʌʌdɪ
ला	lʌ
लोकप्रियता	lʌʌkpɾɪjʌtʌ
धरौटी	dʱ ə r ɔ ʈ i
र्‍याल	r j ɑ l
कसूरदार	k ə s u r d ɑ r
अडभङ्ग्याहा	ə ɖ bʱ ə ŋ j ɑ h ɑ
उत्तिस	u t̪ t̪ i s
सतबिउ	s ə t̪ ə b i u
खेरि	kʰ e r i
गबडू	g ə b ə ɖ u
प्रतिपद	p r ə t̪ i p ə d
ठेकेदार	ʈʰ e k e d ɑ r
कुँढ्	k ũ ɖʱ
चिम्टे	t͡ʃ i m ʈ e
आरक्षण	ɑ r ə kʃ ə n
बिसौनी	b i s ɔ u n i
फुट्	pʰ u ʈ
अगणनीय	ə g ə ɳ ə n i j
कर्णाली	k ə r ɳ ɑ l i
पचपच	p ə t͡ʃ p ə t͡ʃ
अल्पमत	ə l p ə m ə t̪
अरुन्धती	ə r u n dʱ ə t̪ i
कर्के	k ə r k e
पुरस्कार	p u r ə s k ɑ r
जग्गाजमिन	d͡ʒ ə g g ɑ d͡ʒ ə m i n
लताम	l ə t̪ ɑ m
आनन्दी	ɑ n ə n d i
आलोडन	ɑ l o ɖ ə n
अखानो	ə kʰ ɑ n o
छोप	t͡ʃʰ o p
आशाकारी	ɑ ʃ ɑ k ɑ r i
नपुङ्सक	n ə p u ŋ s ə k
योजना	j o d͡ʒ ə n ɑ
मतान्तर	m ə t̪ ɑ n t̪ ə r
देवेन्द्र	d e w e n d r ə
मरमरम्मत	m ə r m ə r m ə t̪
उखान	u kʰ ɑ n
विस्तार	w i s t̪ ɑ r
समवाय	s ə m ə w ɑ j
रोगब्याधी	r o g ə b j ɑ dʱ i
भाडा	bʱ ɑ ɖ ɑ
नागरिकता	n ɑ g ə r i k ə t̪ ɑ
बढीमालिका	b ə ɖʱ i m ɑ l i k ɑ
सहसेनानी	s ə h ə s e n ɑ n i
ईसाइ	i s ɑ i
कम्युनिष्‍ट	k ə m j u n i ʃ ʈ
चुकुल	t͡ʃ u k u l
हिचकिचाउ	ɦ i t͡ʃ k i t͡ʃ ɑ u
पिटिपिटी	p i ʈ i p i ʈ i
हृदय	ɦ r i d ə j
चनाखो	t͡ʃ ə n ɑ kʰ o
कम्बल	k ə m b ə l

    पिशाच	p i ɕ a ː t͡ʃ
बत्ताउ	b ʌ t̪ t̪ a ː u
नाइटो	n a ː i t̪ o
डल्लेँठो	ɖ ʌ l l e ː ʈʰ o
मुलुक	m u l u k
कल्पनीय	k ʌ l p n i j ʌ
टट्टाउ	ʈ ʌ ʈ ʌ ː u
हत्याहिंसा	ɦ ʌ t̪ j a ː ɦ i ː s a ː
हबल्दारी	ɦ ʌ b l d a ː r i ː
उपद्र्याहा	u p ʌ d r j a ː ɦ a ː
आमसञ्चार	a ː m s ʌ ɲ t͡ʃ a ː r
झोकी	d͡zʱ o k i ː
टाउको	ʈ a ː u k o
अरुचिकर	ʌ r u t͡ʃ i k ʌ r
थाम्	t̪ʰ a ː m
ख्यात	kʰ j a ː t̪
ग्वाँगे	ɡ w a ː ŋ ɡ e
जिल्लाराम	d͡ʒ i l l a ː r a ː m
स्याल्ल	s j a ː l l
डिपोट	ɖ i p o ʈ
अगणनीय	ʌ ɡ ʌ ɳ n i j ʌ
लहै	l ʌ ɦ a i
कवाडी	k ʌ w a ː ɖ i ː
नारायणपुर	n a ː r a ː j ʌ ɳ p u r
घामपानी	ɡʱ a ː m p a ː n i ː
जनशक्ति	d͡ʒ ʌ n ʃ ʌ k t̪ i
महिष	m ʌ ɦ i ʃ
सिर्क	s i r k
आदर	a ː d ʌ r
जङ्गे	d͡ʒ ʌ ŋ ɡ e
वहीँ	w ʌ ɦ i ː
झट्कार्	d͡zʱ ʌ ʈ k a ː r
बरु	b ʌ r u
तड्पडाउ	t̪ ʌ ɖ p ʌ ɖ a ː u
परिपाठ	p ʌ r i p a ː ʈʰ
ब्यानर	b j a ː n ʌ r
कठपाइले	k ʌ ʈʰ p a ː i l e
थाल्नी	t̪ʰ a ː l n i ː
धपेड्	dʱ ʌ p e ɖ
तार्	t̪ a ː r
लत्रिनु	l ʌ t̪ r i n u
अन्यथा	ʌ n j ʌ t̪ʰ a ː
उच्छेदन	u t͡ʃʰ e d ʌ n
झुल्के	d͡zʱ u l k e
फलैँचा	pʰ ʌ l a i ː t͡ʃ a ː
पजेरो	p ʌ d͡ʒ e r o
उतार	u t̪ a ː r
ख्याउ	kʰ j a ː u
गोतिया	ɡ o t̪ i j a ː
झुत्ती	d͡zʱ u t̪ t̪ i ː
जातपतित	ʤɑːt̪pət̪ɪt̪
फेचो	pʰeʧo
सम	səm
गौँठली	ɡɔ̃ʈʰliː
ऊर्ध्वमूल	uːrd̪ʱʋəmuːl
टम्माटम्मी	ʈəmmɑːʈəmmiː
आडिलो	ɑːɖɪlo
मलामी	məlɑːmiː
चौसट्ठीऔं	t͡ʃɔʊsʌʈʰiːɔ̃
सबार	səbɑːr
जुत्त्याउ	ʤʊt̪t̪jɑːʊ
फोकस	pʰoʊkəs
बराम	bərɑːm
रिसोर्ट	rɪsɔːrʈ
मन्थरा	mənt̪ʰərɑː
कुशासन	kʊʃɑːsən
अवधि	əʋəd̪ʱiː
पलट्ट	pəlʌʈʈ
मनोभावना	mənoʊbʱɑːʋnɑː
वृद्ध	ʋrɪd̪ʱ
मीठो	miːʈʰo
अतुलनीय	ət̪ʊləniːj
सिकाइ	sɪkɑːi
कौसी	kaʊsiː
बाइकार्बोनेट	bɑːikaːrboneʈ
डिसेम्बर	ɖɪsembər
गणना	ɡəɳənɑː
एस	es
बढ्	bəd̪ʱ
दस्तखत	d̪əst̪əkʰət̪
लत्र्याङ्ङ	lət̪rjɑːŋŋ
आल्मारी	ɑːlmɑːriː
साँघी	sɑ̃ːɡʱiː
जुरुक्क	ʤʊrukʰkʰ
कर्‌याम्म	kərjɑːmm
ल्याउ	ljɑːʊ
मीनपचास	miːnpəʧɑːs
कन्पारो	kənpɑːro
पूर्ति	puːrt̪iː
आख्यायक	ɑːkʰjɑːjək
इन्डिया	ɪnɖɪjɑː
उद्‌भावित	ʊd̪bʱɑːʋɪt̪
पितपित	pɪt̪əpɪt̪
थिमी	t̪ʰɪmiː
शुभ	ʃʊbʱ
आर्य	ɑːrj
घरपरिवार	ɡʱərəpərɪʋɑːr
खौवा	kʰɔʊʋɑː
पहल	pəʱəl
घडघडे	ɡʱəɖɖəɖe
गित	ɡ i t
चटपटे	t͡ʃ ʌ ʈ ʌ ʈ e
कम्युनिष्‍ट	k ʌ m j u n i ʂ ʈ
मढ्	m ʌ ɖʱ
गन्धालु	ɡ ʌ n d̪ʱ ä l u
अन्तर्त्वचा	ʌ n t̪ ʌ r t̪ w ʌ t͡ʃ ä
घिरघिर	ɡʱ i r ɡʱ i r
बाइकार्बोनेट	b ä i k ä r b o n e ʈ
डच	ɖ ʌ t͡ʃ
उल्लिखित	u l l i kʰ i t̪
जडौरी	d͡ʒ ʌ ɖ ʌ u r i
उपचारी	u p ʌ t͡ʃ ä r i
खल्लो	kʰ ʌ l l o
टुकटुकती	ʈ u k ʈ u k ʌ t̪ i
मेष	m e ʂ
खाम्	kʰ ä m
रेल्वे	r e l w e
बगली	b ʌ ɡ ʌ l i
वृत्तान्त	b r i t̪ t̪ ä n t̪
खसोखास	kʰ ʌ s o kʰ ä s
अधिवक्ता	ʌ d̪ʱ i b ʌ k t̪ ä
लहैलहै	l ʌ ɦ ä i l ʌ ɦ ä i
गौँठली	ɡ ʌ̃ ʈʰ l i
प्रिन्ट	p r i n ʈ
भरथरी	bʱ ʌ r ʌ t̪ʰ r i
पेन्टिङ	p e n ʈ i ŋ
उपनिवेशवाद	u p ʌ n i b e ʂ w ä d̪
महँगी	m ʌ ɦ ʌ̃ ɡ i
चपाती	t͡ʃ ʌ p ä t̪ i
सप्र्याक	s ʌ p r j ä k
तिब्बत	t̪ i b b ʌ t̪
क्यानभास	k j ä n bʱ ä s
लम्मि	l ʌ m m i
काँधि	k ä̃ d̪ʱ i
चटक	t͡ʃ ʌ ʈ ʌ k
आज	ä d͡z
फैसला	pʰ ä i s ʌ l ä
चिहिरि	t͡ʃ i ɦ i r i
गुठी	ɡ u ʈʰ i
उफ्र	u pʰ r
सिध्रा	s i d̪ʱ r ä
सङ्काय	s ʌ ŋ k ä j
कछार	k ʌ t͡ʃʰ ä r
लौखा	l ʌ u̯ kʰ ä
पीप	p i p
सन्ठी	s ʌ n ʈʰ i
गोरखनाथ	ɡ o r ʌ kʰ n ä ʈʰ
बिट	b i ʈ
सइस	s ʌ i s
जेता	d͡z e t̪ ä
गुठी	ɡ u ʈʰ i
वेदवाक्य	ʋ e d̪ ʋ a k j ə
आर्ज	ɑ r ɟ
जङ्गे	ɟ ə ŋ ɡ e
रल्लि	r ə l l i
अधमरो	ə d̪ʱ m ə r o
ऋकार	ɾ i k ɑ r
फारु	pʰ ɑ r u
वश	ʋ ə ʃ
आफन्त	ɑ pʰ n ə t̪
खैँच	kʰ ɛ̃ t͡ʃ
भाडा	bʱ ɑ ɖ ɑ
गडर्‌याङ्ङ	ɡ ə ɖ r j ɑ ŋ ŋ
उपयोगी	u p ə j o ɡ i
स्वर्ग	s ʋ ə r ɡ
उजराती	u ɟ r ɑ t̪ i
अल्पमत	ə l p m ə t̪
भरणपोषण	bʱ r ə n p o ʂ ə n
ओभाउ	o bʱ ɑ u
शंसोधन	ʃ ə n s o d̪ʱ ə n
विरही	ʋ i r ə ɦ i
प्रेसिडेन्ट	p r e s i ɖ e n ʈ
झिम्रिक्क	ɖʐ i m r i k k
कम्बल	k ə m b ə l
फट्ट	pʰ ə ʈ ʈ
मधौरु	m ə d̪ʱ o u r u
काङ्क्षित	k ɑ ŋ k ʂ i t̪
भुँडल्लो	bʱ ũ ɖ ə l l o
परख	p ə r ə kʰ
अखानो	ə kʰ ɑ n o
बलात्कार	b ə l ɑ t̪ k ɑ r
बुरुण्डी	b u r u ɳ ɖ i
बार्	b ɑ r
कल्पनीय	k ə l p n i j ə
चिन्	t͡ʃ i n
सत्याल	s ə t̪ j ɑ l
अदृश्य	ə d̪ r ɪ ʃ j ə
भत्कोस	bʱ ə t̪ k o s
बक्	b ə k
जर्कि	ɟ ə r k i
दङ्गा	d̪ ə ŋ ɡ ɑ
वायुसेना	ʋ ɑ j u s e n ɑ
र्‍याल	r j ɑ l
मुनामदन	m u n ɑ m ə d̪ ə n
उगाउ	u ɡ ɑ u
विशेषण	ʋ i ʃ e ʂ ə n
मनोविज्ञान	m ə n o ʋ i ɟ ɲ ɑ n
प्यारा	p j ɑ r ɑ
विश्राम	ʋ i ʃ r ɑ m
इकोसिस्टम	i k o s i s ʈ ə m
अल्पस्मृति	ʌ l p s m ɾ i t̪ i
हार्दिकता	ɦ ä r d̪ i k ʌ t̪ ä
मालश्री	m ä l ʃ r i
पसलवाला	p ʌ s ʌ l ʌ ʋ ä l ä
कौवाली	k ʌ̃ ʋ ä l i
दर्पण	d̪ ʌ r p ʌ n̪
कङ्गाली	k ʌ ŋ ɡ ä l i
अतुल	ʌ t̪ u l
गोस्वारी	ɡ o s ʋ ä r i
विबाह	ʋ i b ä ɦ
हाई-हाई	ɦ ä i - ɦ ä i
औताउ	ʌ̃ u t̪ ä u
पनौती	p ʌ n̪ ʌ̃ u t̪ i
छन्	t͡sʰ ʌ n
लेखक	l e kʰ ʌ k
उपचारी	u p t͡ʃ ä r i
कत्थक	k ʌ t̪ t̪ʰ ʌ k
चारखाने	t͡ʃ ä r kʰ ä n̪ e
माल्टा	m ä l ʈ ä
ऋचा	r i t͡ʃ ä
अल्पसंख्या	ʌ l p s ʌ̃ kʰ j ä
गुहार	ɡ u ɦ ä r
उनान्सयौं	u n̪ ä n̪ s j ʌ̃ ũ̯
भण्डारी	bʱ ʌ n̪ d̪ ä r i
गन्धर्व	ɡ ʌ n̪ d̪ʱ ʌ r ʋ
फट्कार्	pʰ ʌ t̪ k ä r
रेग्मी	r e ɡ m i
अर्थात्	ʌ r t̪ʰ ä t̪
जय	d͡z j ä
घत्रक्क	ɡʱ ʌ t̪ r ʌ k k
ऐहिक	ʌ i ɦ i k
कर्‌याम्म	k ʌ r j ä m m
दगुराइ	d̪ ʌ ɡ u r ä i
त्रिवेणी	t̪ r i ʋ e n̪ i
देवीप्रसाद	d̪ e ʋ i p r ʌ s ä d̪
दँतुली	d̪ ʌ̃ t̪ u l i
रुढी	r u ɖ i
गाला	ɡ ä l ä
आकाङ्क्षी	ä k ä ŋ kʰ ʃ i
आहृत	ä ɦ r i t̪
चास्स	t͡ʃ ä s s
सतराज	s ʌ t̪ ʌ r ä d͡z
एकानी	e k ä n̪ i
स्वज्ञान	s ʋ ʌ d͡z j ä n̪
चोब्	t͡ʃ o b
मिट्टी	m i ʈ ʈ i
अकबरि	ʌ k ʌ b ʌ r i
खटिरा	kʰ ʌ ʈ i r ä
सावा	s ä ʋ ä
अकथित	ʌ k ʌ t̪ʰ i t̪
उपरि	u p ʌ r i
झुत्रेझाम्रे	d͡zʱ u t̪ r e d͡zʱ ä m r e
छाउरो	t͡sʰ ä u r o
खाग्सी	kʰ ä ɡ s i
भरभित्तो	bʱ ʌ r bʱ i t̪ t̪ o
धीर	dʱ i r
कुञ्जी	k u ɲ d͡z i
डिनर	ɖ i n ʌ r
कल्पक	k ʌ l p ʌ k
बेसारे	b e s ä r e
दम्क	d ʌ m k
कटहर	k ʌ t̪ ʌ h ʌ r
अष्टमान	ʌ s̠ t̪ m ä n
कर्कट	k ʌ r k ʌ t̪
ठमेल	t̪ʰ ʌ m e l
डच	ɖ ʌ t͡sʰ
कुचेष्टा	k u t͡sʰ e s̠ t̪ ä
गोरु	ɡ o r u
रल्लि	r ʌ l l i
गढी	ɡ ʌ ɖ i
विजयोत्सव	b i d͡z ʌ j o t̪ s ʌ b
पदस्थापन	p ʌ d ʌ s t̪ʰ ä p ʌ n
चण्ड	t͡s ʌ n̪ ɖ
लक्ष	l ʌ k̚ t̪ʃ
भूईँचालो	bʱ u ĩ t͡s ä l o
तीव्रता	t̪ i b r ʌ t̪ ä
च्याँसे	t͡sʰ j ä̃ s e
फापर	pʰ ä p ʌ r
रुढी	r u ɖ i
जग्गाजमिन	d͡z ʌ ɡ ɡ ä d͡z ʌ m i n
मुड्की	m u ɖ k i
भँगालि	bʱ ã ɡ ä l i
आलस्य	ä l ʌ s j ʌ
छेका	t͡sʰ e k ä
प्रहास	p r ʌ h ä s
अबाध्य	ʌ b ä dʱ j ʌ
इन्क्लाब	i n k l ä b
काठ	k ä t̪ʰ
कोटिनाम	k o t̪ i n ä m
जर्मनी	d͡z ʌ r m ʌ n i
अनुन्मुक्त	ʌ n u n m u k t̪
टुलुक्क	t̪ u l u k k
पत्रिका	p ʌ t̪ r i k ä
कस्तो	k ʌ s t̪ o
ठूलाबडा	t̪ʰ u l ä b ʌ d̪ ä
ग्रामीण	ɡ r ä m i n
भित्र	bʱ i t̪ r
कङ्गाल	k ʌ ŋ ɡ ä l
शान्तिवार्ता	s̠ ä n t̪ i b ä r t̪ ä
गडगड	ɡ ʌ ɖ ɡ ʌ ɖ
ठमेल	ʈʰəmeːl
तत्त्व	tət̪t̪ʋə
सदासर्वदा	səd̪aːsərʋəd̪aː
सेड	seːɖ
अन्तर्विरोध	ənt̪ərʋiroːd̪ʱ
मिसोट	misoːʈ
साँच्चै	sãːt͡ʃt͡ʃəi
काव्यशैली	kaːʋjəʃəiliː
कम्ती	kəmt̪iː
कन्पारो	kənpaːro
चोक	t͡ʃoːk
एत्तेरी	eːt̪t̪eːriː
झाँगकझुँगल	d͡ʒʱãːɡəkd͡ʒʱũːɡəl
मस्यौदा	məsjəudaː
अस्तित्व	əst̪it̪ʋə
चिरचिरे	t͡ʃirət͡ʃireː
ऊर्ध्वगामी	uːrd̪ʱʋəɡaːmiː
औलो	auloː
अद्यपि	əd̪jəpi
अब्राहम	əbraːɦəm
चुबुरचुबुर	t͡ʃuburət͡ʃubur
रात्रि	raːt̪ri
अगणनीय	əɡəɳəniːjə
वीरगति	ʋiːrəɡət̪i
भद्राक्ष	bʱəd̪raːkʃ
चपेटा	t͡ʃəpeːʈaː
सेलफोन	seːləfon
छकाउ	t͡ʃʰəkaːu
छन्	t͡ʃʰən
उहिले	uhilə
बोटे	boːʈeː
कचिल्लो	kət͡ʃilːo
ख्याति	kʰjaːt̪i
समेना	səmeːnaː
परापूर्व	pəraːpuːrʋə
त्रिगिरी	t̪riɡiriː
बाईस	baːis
रेडक्रस	reːɖəkrəs
आह्‍लाद	aːɦlaːd̪
गज्क	ɡəd͡ʒək
घरधुरी	ɡʱərəd̪ʱuriː
इकोसिस्टम	ikosisʈəm
सञ्चालिका	səɲt͡ʃaːlikaː
पराल	pəraːl
छ्याप	t͡ʃʰjaːp
अनुत्पादक	ənut̪paːd̪ək
मार्कअप	maːrkəp
उपवक्ता	upəʋəkt̪aː
खुड्किलो	kʰuɖkilo
धाई	d̪ʱaːi

    राष्ट्रबैँक	r ä ʂʈ r ʌ b ä̃ ŋ k
गुठी	ɡ u ʈʰ i
टनकपुर	ʈ n ʌ k ʌ p u r
पग्लि	p ʌ ɡ l i
धनुर्धर	d̪ʱ ʌ n u r d̪ʱ ʌ r
बाउसे	b ä u s e
तेक्वान्दो	t̪ e k w ä n d̪ o
खिच्चड	kʰ i t͡ʃ t͡ʃ ʌ ɖ
अन्यथा	ʌ n j ʌ t̪ʰ ä
तिखार्	t̪ i kʰ ä r
अकलगुम	ʌ k ʌ l ʌ ɡ u m
गणना	ɡ ʌ ɳ ʌ n ä
सुमित्रा	s u m i t̪ r ä
घडघडे	ɡʱ ʌ ɖ ɡʱ ʌ ɖ e
बत्ताउ	b ʌ t̪ t̪ ä u
रेलिङ	r e l i ŋ
समाचारदाता	s ʌ m ä t͡ʃ ä r d̪ ä t̪ ä
उपलब्धता	u p ʌ l ʌ bʱ d̪ʱ t̪ ä
अन्तर्त्वचा	ʌ n t̪ ʌ r t̪ w ʌ t͡ʃ ä
छ्‌वाँके	t͡ʃʰ w ä̃ k e
भरभित्तो	bʱ ʌ r bʱ i t̪ t̪ o
मुस्लिम	m u s l i m
मसौदा	m ʌ s ʌ u d̪ ä
सम्भ्रम	s ʌ m bʱ r ʌ m
ख्याक	kʰ j ä k
भुक्लुक्क	bʱ u k l u k k
आत्था	ä t̪ʰ ä
खबटे	kʰ ʌ b ʌ ʈ e
खाइखुई	kʰ ä i kʰ u i
एकसट्ठीऔं	e k ʌ s ʌ ʈʰ i ʌ̃
अभिमत	ʌ bʱ i m ʌ t̪
औलो	ʌ u l o
गन्धर्व	ɡ ʌ n d̪ʱ ʌ r w
त्रिगिरी	t̪ r i ɡ i r i
वारुणयन्त्र	w ä r u ɳ j ʌ n t̪ r
सावा	s ä w ä
अपुत	ʌ p u t̪
एक्काईस	e k k ä i s
पिरपिर	p i r p i r
अनुगृहीत	ʌ n u ɡ r ʱ i t̪
विवश	w i w ʌ ʂ
बङ्गला	b ʌ ŋ ɡ l ä
वैल	w ä i l
खन	kʰ ʌ n
किस्मती	k i s m ʌ t̪ i
अधबैँसे	ʌ d̪ʱ ʌ b ä̃ s e
शासनपतन्त्र	ʂ ä s ʌ n p ʌ t̪ ʌ n t̪ r
शारदा	ʂ ä r ʌ d̪ ä
दनदन	d̪ ʌ n ʌ d̪ ʌ n
बड्‍कौँलो	b ʌ ɖ k ʌ̃ l o

    पाउँ	pā̤ũ
निश्‍वास	niʃ‍vā̤s
राधेश्याम	rā̤d̪ʱeʃjā̤m
चक्राङ्कित	t͡ʃʌkrā̤ŋkit
उहिले	uʱile
ढुकढुकी	ɖʱʊkɖʱʊki
बिख	bikʰ
प्रहास	prā̤ʱā̤s
सिकुटी	sikʊʈi
जगण	d͡ʒʌɡʌɳ
क्षति	kʂʌt̪i
भद्राक्ष	bʱʌdrā̤kʂ
झ्याप्लो	d͡ʒʱjā̤plo
दुलही	dʊlā̤ʱi
दम्क	dʌmk
बदाम	bʌdā̤m
निम्की	nimki
पट्टी	pʌʈʈi
फट्ट	pʰʌʈʈ
परापूर्व	parā̤pūrv
बान्की	bā̤nki
कहीं	kʌhĩ
फापर	pʰā̤pʌr
सुनार	sunā̤r
घर्ती	ɡʱʌrti
पैले	paile
वायुमण्डल	vā̤jūmʌɳɖʌl
झन्क	d͡ʒʱʌnk
आभ्यन्तरिक	ā̤bʱjʌnt̪ʌrik
गदरी	ɡʌdʌri
गलकट्टा	ɡʌlʌkʈʈā̤
असांसद	ʌsā̤̃sʌd
दिलमाया	dilmā̤jā̤
किंवदन्ती	kĩvʌdʌnti
माफ	mā̤pʰ
मर्चेन्ट	mʌrt͡ʃent̪
खुकुलो	kʰʊkʊlo
स्याल्ल	sjā̤l
उपनिवेशवाद	upʌniveʃvā̤d
भ्वाँक	bʱvā̤̃k
हल्ट	ʱʌlʈ
आख्यायक	ā̤kʱjā̤jak
सरणि	sʌrʌɳi
चेहरा	t͡ʃeʱʌrā̤
ल्यापल्यापती	ljā̤pljā̤pti
फुस्रो	pʰʊsro
लचकता	lʌt͡ʃʌkʌt̪ā̤
सनातन	sʌnā̤t̪ʌn
घ्न	ɡʱn
वाक्यविश्लेषण	vā̤kjʌviʃleʂʌɳ
धर्सो	dʱ ʌ r s o
मच्च	m ʌ t͡ʃ t͡ʃ
रौँ	r aʊ̯̃
अमानवी	ʌ m ɑː n ʌ ʋ iː
लुटपुट	l ʊ ʈ p ʊ ʈ
पुलुपुलु	p ʊ l ʊ p ʊ l ʊ
ह्नेदिक	ɦ n eː d i k
पुडिया	p ʊ ɖ iː j ɑː
साँगु	s ɑ̃ː ɡ u
आपत्ति	ɑː p ʌ t̪ t̪ i
तानाशाह	t ɑː n ɑː ʃ ɑː ɦ
स्तरीयता	s t̪ ʌ r iː j ʌ t̪ ɑː
बिङ्गो	b i ŋ ɡ o
छटपटी	t͡ʃʰ ʌ ʈ p ʌ ʈ iː
झुरुमुरु	d͡ʒʱ ʊ r ʊ m ʊ r ʊ
बदाम	b ʌ d ɑː m
रेखाचित्र	r eː kʰ ɑː t͡ʃ i t̪ r
हर्न	ɦ ʌ r n
सृजनशीलता	s r̩ d͡ʒ n ʌ ʃ iː l ʌ t̪ ɑː
धोका	dʱ oː k ʌ
पुरस्कार	p ʊ r ʌ s k ɑː r
उल्टाइ	u l ʈ ɑː i
सावा	s ɑː ʋ ɑː
असन्तोकी	ʌ s ʌ n t̪ oː k iː
बिछ्यौना	b i t͡ʃʰ j aʊ̯ n ɑː
आदिवासी	ɑː d i ʋ ɑː s iː
काटमार	k ɑː ʈ m ɑː r
उच्छन्न	u t͡ʃʰ ʌ n n
दिउँसो	d iː ʊ̃ s o
अभ्यर्थना	ʌ bʱ j ʌ r t̪ʰ n ɑː
आजानुबाहु	ɑː d͡ʒ ɑː n ʊ b ɑː ɦ ʊ
फ्वाँक्क	pʰ ʋ ɑ̃ː k k
किस्मती	k i s m ʌ t̪ iː
प्राचीन	p r ɑː t͡ʃ iː n
पोर्ट	p oː r ʈ
पस्मिना	p ʌ s m iː n ɑː
रुक्मिणी	r ʊ k m iː n iː
सिनेमा	s i n eː m ɑː
बाउँडि	b ɑː ʊ̃ ɖ i
ख्यातनामा	kʰ j ɑː t̪ ʌ n ɑː m ɑː
अडभङ्ग्याहा	ʌ ɖ bʱ ʌ ŋ j ɑː ɦ ɑː
मामा	m ɑː m ɑː
कच्चो	k ʌ t͡ʃ t͡ʃ o
डँड्याउ	ɖ ʌ̃ ɖ j aʊ̯
रक्तचाप	r ʌ k t̪ t͡ʃ ɑː p
हाडछाला	ɦ ɑː ɖ t͡ʃʰ ɑː l ɑː
भरथरी	bʱ ʌ r ʌ t̪ʰ r iː
ठेट्ना	ʈʰ eː t̪ n ɑː
जितुवा	d͡ʒ i t̪ u ʋ ɑː
खकार्	kʰ ʌ k ɑː r
निथ्रुक्क	n i tʰ r u k k
कार्बनडाइअक्साइड	k ɑː r b ʌ n d ɑː i ʌ k s ɑː i d
कार्यशैली	k ɑː r j ʌ ʃ ɑː i l iː
गँजडी	g æ̃ ʤ ʌ d iː
उफ्रौला	u pʰ r ɔː l ɑː
जलजलाउँदो	ʤ ʌ l ʤ ʌ l ɑː ũ d o
अन्दोलन	ʌ n d o l ʌ n
