'ad	ɑ t̪ˠ
'ad	ɑː t̪ˠ
'ad	a d̪ˠ
'adsa	ˈɑ t̪ˠ sˠ ə
'am	ɑː mˠ
'am	ɑ mˠ
'am	a mˠ
'chuile	ˈx ɪ lʲ ə
'sé	ʃ eː
'spáin	s pˠ ɑː nʲ
'un	ə nˠ
'ur	uː ɾˠ
'ur	ə
a	ə
á	ɑː
a'	ə
ab	a bˠ
ab	ə bˠ
abaidh	ˈɑ bʲ ɪ ɟ
abair	ˈɑ bˠ ə ɾʲ
abair	ˈa bˠ ə ɾʲ
abairt	ˈa bˠ ə ɾˠ tʲ
ábalta	ˈɑː bˠ ə l̪ˠ t̪ˠ ə
ábalta	ˈæː bˠ ə l̪ˠ t̪ˠ ə
ábaltacht	ˈɑː bˠ ə l̪ˠ t̪ˠ ə x t̪ˠ
ábaltacht	ˈaː bˠ ə l̪ˠ t̪ˠ a x t̪ˠ
abar	ˈa bˠ ə ɾˠ
abartha	ˈa bˠ ə ɾˠ ə
abarthach	ˈa bˠ ə ɾˠ ə x
Abcáisis	ˈa bˠ k aː ʃ ɪ ʃ
Abcáisis	a bˠ ˈk aː ʃ ɪ ʃ
abhac	a u k
abhac	ˈɑ u w ə k
abhaile	ə ˈvˠ ɑ lʲ ə
abhaile	ə ˈw a lʲ ə
abhaill	ˈə u w ə l̠ʲ
abhainn	ə u nʲ
abhainn	ə u n̠ʲ
abhainn	oː n̠ʲ
ábhal	ˈɑː vˠ ə l̪ˠ
ábhal	ˈɑː w ə lˠ
ábhal	ˈɑː w ə l̪ˠ
ábhal	ˈaː w ə lˠ
ábhal	ˈaː w ə l̪ˠ
abhann	ə u n̪ˠ
abhann	ə u n̪ˠ
abhann	ˈə u ə n̪ˠ
abhann	oː n̪ˠ
ábhar	ˈa u ɾˠ
ábhar	ˈɑː vˠ ə ɾˠ
ábhar	ˈɑː w ə ɾˠ
ábhar	ˈæː w ə ɾˠ
abhlann	ˈa u l̪ˠ ə
abhlóir	ˈa u lˠ ɔ ɾʲ
abhna	ˈoː n̪ˠ ə
abhras	ˈə u ɾˠ ə sˠ
abhus	ə ˈvˠ ʊ sˠ
abhus	ə ˈw ʊ sˠ
abradh	ˈa bˠ ɾˠ iː tʲ
abradh	ˈa bˠ ɾˠ i ə x
abraid	ˈa bˠ ɾˠ ə dʲ
abraidís	ˈa bˠ ɾˠ iː dʲ iː ʃ
Abrán	ɑ bˠ ə ˈɾˠ ɑː n̪ˠ
abú	ə ˈbˠ uː
Abúise	a ˈbˠ uː ʃ ə
acadamh	ˈa k ə d̪ˠ ə vˠ
acadamh	ˈa k ə d̪ˠ uː
acadamh	ˈa k ə d̪ˠ u
acais	ˈæ k ə ʃ
acaiseach	ˈæ k ə ʃ ə x
acastóir	ˌɑ k ɑ sˠ ˈt̪ˠ oː ɾʲ
acastóir	ˈa ˌk a sˠ t̪ˠ oː ɾʲ
acastóir	ˈa ˌk a sˠ t̪ˠ a ɾʲ
ach	ɑ x
ach	a x
achadh	ˈa x ə
achadh	ˈa x uː
achadh	ˈa x u
achainí	a x ə ˈnʲ iː
achainí	ˈa x ə nʲ iː
achainí	ˈa x ə nʲ i
achar	ˈa x ə ɾˠ
achasán	ˈa h a sˠ a nˠ
achasán	ˈa h a sˠ a n̪ˠ
achrannach	ˈa x ə ɾˠ n̪ˠ ə x
acht	ɑ x t̪ˠ
acht	a x t̪ˠ
acht	ɑ x
acht	a x
acht	ɑ x t̪ˠ
acht	a x t̪ˠ
aclaí	ˈa k lˠ i
acmhainn	ˈa x vˠ ə n̠ʲ
acmhainn	ˈa k uː n̠ʲ
acmhainn	ˈa k u n̠ʲ
acmhainn	ˈa x w ə n̠ʲ
acra	ˈɑ k ɾˠ ə
acra	ˈa k ɾˠ ə
acsón	a k ˈsˠ oː n̪ˠ
acsón	ˈa k sˠ oː nˠ
acsón	ˈa k sˠ uː nˠ
acsón	ˈa k sˠ ɔː nˠ
acu	ˈa k ə
acu	ˈa k u
acu	ə ˈk u
acu	ˈɑ k ə bˠ
acu	ˈa k ə bˠ
acu	ˈa pˠ ə k
acusan	ˈa k ə sˠ ə nˠ
acusan	ˈa k u sˠ ə nˠ
acusan	ə ˈk u sˠ ə nˠ
acusan	ˈɑ k ə pˠ sˠ ə nˠ
acusan	ˈa k ə pˠ sˠ ə nˠ
ad	ə d̪ˠ
adaí	ˈa d̪ˠ i
adaí	ˈɔ d̪ˠ i
adamh	ˈɑ d̪ˠ ə vˠ
adamh	ˈæ d̪ˠ ʊ
ádh	ɑː
ádh	aː
adhairc	ˈə i ɾʲ c
adhairc	ˈə i ə ɾʲ c
adhairc	ˈeː ɾʲ c
adhairce	ˈə i ɾʲ c ɪ
adhairce	ˈə i ə ɾʲ c ɪ
adhairce	ˈeː ɾʲ c ɪ
adhall	ˈə i ə l̪ˠ
adhaltranas	ˈiː l̪ˠ t̪ˠ ɾˠ ə nˠ ə sˠ
adhaltranas	ˈɯː l̪ˠ t̪ˠ ɾˠ ə nˠ ə sˠ
Ádhamh	ɑː vˠ
Ádhamh	ɑː w
Ádhamh	ˈaː w ə
Adhamhnán	ˈiː nˠ a nˠ
Adhamhnán	ˈɯː nˠ a nˠ
adharc	ˈɑ ɪ ɾˠ k
adharc	ə i ɾˠ k
adharc	ə i ə ɾˠ k
adharc	eː ɾˠ k
adharc	ɤː ɾˠ k
adharca	ˈə i ə ɾˠ k ə
adhlacadh	ˈʌ lˠ k u
adhlaic	ˈə i l̪ˠ ə c
adhlaic	ˈɑː l̪ˠ ə c
adhmad	ˈə i mˠ ə d̪ˠ
adhmad	ˈɑː mˠ ə d̪ˠ
adhmad	ˈaː mˠ ə d̪ˠ
adhnaic	ˈə i n̪ˠ ə c
adhraim	ˈɨ̞ ɣ ə ɾˠ i mˠ
adhraim	ˈə ɯ̯ ɾˠ i mˠ
ádhúil	ˈɑː w ʊ l
ádhúil	ˈɑː w ə l
admhaigh	ˈæ dʲ i
admháil	a d̪ˠ ˈv ɑ̃ː lʲ tʲ
admháil	ˈæ dʲ vʲ æ l̠ʲ tʲ
ae	eː
ae	ə i̯
aebha	ˈə i̯ ə
aeir	eː ɾʲ
aer	eː ɾˠ
aer	eː ɾˠ
aerach	ˈeː ɾˠ ə x
aerach	ˈeː ɾˠ a x
aeráid	eː ˈɾˠ ɑː dʲ
aeráid	ˈeː ɾˠ ɑː dʲ
aeráid	ˈeː ɾˠ æ dʲ
aerfort	ˈeː ɾˠ f ɔ ɾˠ t̪ˠ
aerga	ˈeː ɾˠ ɡ ə
aeróstach	eː ɾˠ ˈoː sˠ t̪ˠ ə x
aeróstach	ˈeː ɾˠ ˌoː sˠ t̪ˠ ə x
aeróstach	ˈeː ɾˠ ˌɔː sˠ t̪ˠ a x
áfach	ˈɑː fˠ ə x
áfach	ˈaː fˠ a x
ag	ə
ag	ə ɡ
ag	ə ɟ
ag	ɛ ɟ
ag	ɪ ɟ
ag	ɪ ɟ ə
ag	ɛ ɟ
aga	ˈa ɡ ə
agad	ˈa ɡ ə d̪ˠ
agaibh	ˈa ɡ ə vʲ
agaibh	ə ˈɡ ɪ vʲ
agaibh	ə ˈɣ ɪ vʲ
agaibh	ˈɑ ɡ iː
agaibh	ˈa ɡ iː
agaibhse	ˈa ɡ ə vʲ ʃ ə
agaibhse	ˈɑ ɡ iː ʃ ə
agaibhse	ˈa ɡ iː ʃ ə
againn	ə ˈɡ ɪ nʲ
againn	ə ˈɣ ɪ nʲ
againn	ˈa ɡ ə n̠ʲ
againn	æː n̠ʲ
againn	ə ˈɡ ɪ n̠ʲ
againne	ˈa ɡ ə n̠ʲ ə
againne	ˈæ n̠ʲ ə
agair	ˈa ɡ ə ɾʲ
agam	ə ˈɡ ɑ mˠ
agam	ə ˈɣ ɑ mˠ
agam	ˈɑ ɡ ə mˠ
agam	ˈa ɡ ə mˠ
agamsa	ˈa ɡ ə mˠ sˠ ə
agamsa	ə ˈɡ ɑ m s ə
agamsa	ˈɑ ɡ ə mˠ sˠ ə
agamsa	ˈɑ mˠ sˠ ə
agamsa	ˈa mˠ sˠ ə
agat	ˈa ɡ ə t̪ˠ
agat	ə ˈɡ ɑ t̪ˠ
agat	ə ˈɣ ɑ t̪ˠ
agat	ˈɑː ɡ ə t̪ˠ
agatsa	ə ˈɡ ɑ t̪ˠ sˠ ə
agatsa	ˈɑ ɡ ə t̪ˠ sˠ ə
age	ˈɛ ɡ ə
aghaidh	ə i ɟ
aghaidh	a i
aghaidh	ˈa i ə
aghaidh	a i
aghaidh	ə i̯
aghaidh	ɤ i̯
aghaidh	ꜜa i ə
agóid	ə ˈɡ oː dʲ
agóid	ˈa ɡ oː dʲ
agóid	ˈa ɡ ɔ dʲ
agus	ˈɑ ɡ ə sˠ
agus	ə ɡ ə sˠ
agus	ɡ ə sˠ
agus	ˈa ɡ ə sˠ
agus	ə ɡ ə sˠ
agus	ɡ ə sˠ
aibhéis	ˈaː vʲ ɛ ʃ
áibhéis	ˈaː vʲ ɛ ʃ
aibhleog	ˈɛ vʲ lʲ a ɡ
aibhne	ˈə i vʲ n̠ʲ ə
aibhne	ˈə i vʲ n ə
aibhne	ˈu ə v n̠ʲ ə
aibhneacha	ˈa vʲ nʲ ə x ə
aibhneacha	ˈə i vʲ n̠ʲ ə x ə
aibhneacha	ˈə i vʲ n ə x ə
aibhneacha	ˈu ə v n̠ʲ ə x ə
aibhneacha	ˈə i vʲ n̠ʲ ə x iː
aibhneacha	ˈɛ vʲ n̠ʲ a x ə
aibí	ˈɑ bʲ ɪ ɟ
aibí	ˈa pˠ i
aibíd	ˈæ bʲ iː dʲ
aibidh	ˈa bʲ ɪ ɟ
Aibreán	a bʲ ə ˈɾʲ ɑː n̪ˠ
Aibreán	ɑ bˠ ə ˈɾˠ ɑː n̪ˠ
Aibreán	ˈə i bʲ ɾʲ ɑː n
Aibreán	ˈɛ bʲ ɾʲ a nˠ
aice	ˈa c ɪ
aice	ˈɛ c ɪ
aiceann	ˈa c ə n̪ˠ
aichear	ˈa ç ə ɾˠ
aici	ˈɛ c ɪ
aici	ɪ ˈc ɪ
aici	ˈɛ c ɪ
aici	ˈɛ c iː
aici	ˈɛ c ə
aicise	ˈɛ c ɪ ʃ ə
aicme	ˈa c mʲ ə
áidh	ɑː ɟ
áidh	aː j
aidhm	ə i mʲ
aidiacht	a ˈdʲ i ə x t̪ˠ
aidiacht	ˈa dʲ i ə x t̪ˠ
aidiacht	ˈa dʲ a h t̪ˠ
aidmheáil	ˈa dʲ vʲ æ lʲ
aidmhigh	ˈæ dʲ i
aiféala	ˈa fʲ eː lˠ ə
aiféala	ˈa fʲ eː ɾˠ
aiféala	ˈa fʲ eː lˠ
aiféalach	ˈa fʲ eː l ə x
áiféis	ɑː ˈfʲ eː ʃ
áiféis	ˈɑː fʲ eː ʃ
áiféis	ˈɑː fʲ e ʃ
Aifreann	ˈa fʲ ə ɾʲ ə n̪ˠ
Aifreann	ˈa fʲ ɾʲ ə n̪ˠ
Aifreann	ˈɪ fʲ ɾʲ ə n̪ˠ
Aifreann	ˈæ fʲ ɾʲ ə n̪ˠ
Aifreann	ˈa fʲ ɾʲ ə n̪ˠ
Aifreannacha	ˈa fʲ ɾʲ ə n̪ˠ ə x iː
aige	ˈɛ ɟ ɪ
aige	ɪ ˈɟ ɛ
aige	ˈɛ ɟ ə
aige	ˈɛ ɟ
aigéad	a ˈɟ eː d̪ˠ
aigéad	ˈa ɟ eː d̪ˠ
aigéad	ˈa ɟ æ d̪ˠ
aigéan	a ɟ eː nˠ
aigeantach	ˈæ ɟ ə n̪ˠ t̪ˠ a x
aiges	ˈɛ ɟ ɪ sˠ
aigesan	ˈɛ ɟ ə sˠ ə n
aigesean	ˈɛ ɟ ə sˠ ə n
aighneas	ˈa i . nʲ ə sˠ
ail	a lʲ
áil	ɑː lʲ
áil	aː lʲ
aile	ˈɛ lʲ ə
aile	ˈɨ̞ lʲ ə
aill	ɑ i lʲ
aill	ɑː l̪ˠ
aill	ɑː l̠ʲ
áille	ˈɑː l̠ʲ ə
áille	ˈæː l̠ʲ ə
áilleacht	ˈɑː lʲ ə x t
ailm	ˈa . lʲ ə mʲ
ailse	ˈæ l̠ʲ ʃ ə
ailt	ɪ l̠ʲ tʲ
aimhleas	ˈiː lʲ ə sˠ
aimhleas	ˈɑ v l̠ʲ a s
aimhleas	ˈɑ v l a s
aimhleas	ˈa v l̠ʲ a s
aimhleas	ˈa v l a s
aimhréidh	ˈa vʲ ɾʲ ə i̯
aimhréiteach	ˈa vʲ ɾʲ ə i̯ tʲ a x
aimsir	ˈa mʲ ʃ ə ɾʲ
aimsir	ˈɑ i mʲ ʃ ə ɾʲ
aimsir	ˈæ mʲ ʃ ə ɾʲ
aimsir	ˈæː mʲ ʃ ə ɾʲ
aimsire	ˈa mʲ ʃ ə ɾʲ ə
aimsire	ˈæ mʲ ʃ ə ɾʲ ə
aimsire	ˈæː mʲ ʃ ə ɾʲ ə
ainbhios	ˈæ n ə ʃ
ainbhios	ˈæ n ɪ ʃ
ainbhios	ˈa n vʲ ə sˠ
ainbhios	ˈɛ nʲ ə vʲ ɪ sˠ
ainbhiosach	ˈɛ nʲ ə vʲ ɨ̞ s a x
aincheart	ˈɑ u n̪ˠ ˌç a ɾˠ t̪ˠ
Aindriú	ˈa nʲ ɾʲ uː
aineolaí	a ˈnʲ oː l iː
aineolaí	ˈa nʲ oː l iː
aineolaí	ˈa nʲ ɔ l i
aingeal	ˈa ɲ ə l̪ˠ
aingeal	ˈa ɲ ɟ ə l̪ˠ
aingeal	ˈæ ɲ ɟ ə l
aingeal	ˈæ ɲ ə lˠ
aingeal	ˈæ ɲ ə l̪ˠ
ainm	ˈa nʲ ə mʲ
ainm	ˈæ n ə mʲ
ainm	ˈæ nʲ ə mʲ
ainm	ˈɛ nʲ ə mʲ
ainmhí	a nʲ ə ˈvʲ ĩː
ainmhí	a nʲ ə ˈṽʲ ĩː
ainmhí	ˈa nʲ ə vʲ iː
ainmhí	ˈɛ nʲ ə vʲ i
ainmneacha	ˈa nʲ ə mʲ nʲ ə x ə
ainmneacha	ˈa nʲ ə mʲ nʲ ə x iː
ainmneacha	ˈa nʲ ə mʲ nʲ a x ə
ainnear	ˈæ n̠ʲ ə ɾˠ
ainneoin	ə ˈnʲ oː nʲ
ainneoin	ˈa n̠ʲ oː nʲ
ainneoin	ˈa n̠ʲ ɔ nʲ
ainnir	ˈæ n̠ʲ ə ɾˠ
ainseabhaí	ˈa nʲ ʃ ə w iː
áinsí	aː nʲ ˈʃ iː
áinsí	ˈaː n̠ʲ ʃ iː
áinsí	ˈæː n̠ʲ ʃ i
áinsíoch	aː nʲ ˈʃ i ə x
áinsíoch	ˈaː n̠ʲ ʃ i ə x
áinsíoch	ˈæː n̠ʲ ʃ i a x
aíocht	i ə x t̪ˠ
aip	a pʲ
air	a ɾʲ
air	ɛ ɾʲ
air	ə ɾʲ
airc	a ɾʲ c
aird	ɑː ɾˠ dʲ
aird	aː ɾˠ dʲ
airde	ˈɑː ɾˠ dʲ ə
airde	ˈiː ɾˠ dʲ ə
airde	ˈɑː ɾˠ dʲ ə
airde	ˈa i ɾʲ dʲ ə
