A	a
A	a
a	a
a	a
aanwijzing	a n . w ɛ i . z ɪ ŋ
AB	ˈa b e
abad	a . b a t̚
abah	ˈa . b a h
abahan	ˈa b a h a n
abalalu	a b a ˈl a l u
abam	ˈa b a m
abdas	ˈa p d a s
abdi	a b . d i
abdis	ˈa b d ɪ s
abi	a b i
abilah	ˈa b i l a h
abir	ˈa b ɪ r
abiseka	a b i . s e . k a
abiti	ˈa b i t i
ABK	a b e k a
aboi	ˈa . b o i̯
abonemen	a b o n ə ˈm ɛ n
aborigin	a . b o . r i . ɡ ɪ n
aborsi	ˈa b ɔ r s i
abortus	ˈa b ɔ r t̪ ʊ s
abras	a b . r a s
abrasif	a . ˈb r a . s ɪ f
absolusi	a b s o l u s i
absolutis	a p . s o . ˈl u . t ɪ s
abstain	a p̚ s t a i n
abu	a b u
abu	a b u
abur	ˈa b ʊ r
acapkali	a t͡ʃ a p ˈk a l i
acar	ˈa t͡ʃ a r
Aceh	a t͡ʃ e h
aci	a t͡ʃ i
aci	a t͡ʃ i
aci	a t͡ʃ i
aci	a t͡ʃ i
acik	a . t͡ʃ ɪ ʔ
ada	ˈʔ ä . d ä
adalah	ˈa d a l a h
adaptif	ˈa d a p . t ɪ f
adas	ˈa d a s
adat	a . d a t
Adelina	ˈa d e l i n a
adempauze	a d ə m . p a u̯ . z ə
adenilat	a . d e . ˈn i . l a t
adenoma	a . d e . n o . m a
adenopati	a . d ə . n o . ˈp a . t i
adenosina	a . d e . n o . ˈs i . n a
adenovirus	a . d e . n o . ˈv i . r ʊ s
adermatoglifia	a d ə r m a t o ˈɡ l i f i a̯
adhesif	a b o n ə m ɛ n
adiafora	a d i a ˈf o r a
adiaksa	a d i ˈa k s a
adicita	a d i ˈt͡ʃ i t a
adijana	a . d i . ˈd͡ʒ a . n a
adik	ˈa . d ɪ k
adikara	a d i . k a . r a
adikarya	a d i k a r j a
adiksimba	a d ɪ k ˈs ɪ m b a
adil	a . d i l
adimanusia	a . d i . m a . n u . ˈs i . a
adipenghantar	a d i p ə ŋ ˈh a n t a r
adiperagawan	a d i p ə r a ˈɡ a w a n
adiposa	a d i ˈp o s a
adiraja	a d i . ˈr a . d͡ʒ a
adisi	a . ˈd i . s i
aditif	a . ˈd i . t ɪ f
adiwastra	a d i ˈw a s t r a
adiwicara	a d i w i ˈt͡ʃ a r a
adiyuswa	a d i ˈj ʊ s w a
administrator	a t̚ m i n ɪ s t r a t ɔ r
administratur	a t̚ m i n ɪ s t r a t ʊ r
adodui	ˈa d o d u i̯
adoptif	ˈa d ɔ p . t ɪ f
adorasi	a . d o . ˈr a . s i
adpis	ˈa t̚ p ɪ s
adsorpsi	a t ˈs ɔ r p s i
adu	ˈa d u
adutan	ˈa d ʊ t a n
advis	a t̚ . v i s
advis	a t̚ . f i s
advisor	a t . ˈv i . s ɔ r
advisori	a t . v i . ˈs o . r i
aerasi	a e ˈr a s i
aeropolis	a e r o ˈp o l ɪ s
afa	ˈa f a
afdeling	a f . d e . l i ŋ
afiliator	a f i l i ˈa t ɔ r
afirmasi	a f ɪ r ˈm a s i
aforestasi	a f o r ɛ s ˈt a s i
afsun	ˈa f s ʊ n
aftab	ˈa f t a p̚
afwan	ˈa f . w a n
agape	a ɡ a p e
agar	ˈa ɡ a r
Agatha	ˈa ɡ a t a
ageisme	a ɡ e ˈɪ s m ə
ageman	a ɡ ə ˈm a n
agen	ˈa . ɡ ɛ n
agih	ˈa ɡ ɪ h
agihan	a ɡ i h a n
agit	ˈa ɡ ɪ t̚
