kebut	k ə ˈb ʊ t̚
balur	ˈb a l ʊ r
demang	d ə ˈm a ŋ
musang	ˈm u s a ŋ
bozah	ˈb o z a h
tirani	t i . ˈr a . n i
membantah	m ə m . b a n . t a h
ester	ˈɛ s . t ə r
parang	ˈp a r a ŋ
bangsat	b a ŋ . s a t
menara	m ə ˈn a r a
andalas	a n . ˈd a . l a s
etana	e . t a . n a
sepur	s ə ˈp u r
prei	p r e i
KPK	k a ˈp e k a
transparansi	t r a n s p a ˈr a n s i
menggali	m ə ŋ . ɡ a . l i
qasar	ˈq a . s a r
ambekdarma	a m b ə k̚ ˈd a r m a
taksir	ˈt a k̚ s ɪ r
galat	ˈɡ a l a t̚
alferes	a l ˈf e r e s
balobo	b a ˈl o b o
bagel	ˈb a ɡ ə l
informatif	ɪ n f ɔ r ˈm a t ɪ f
akselerator	a k . s e . l ə . ˈr a . t ɔ r
membangunkan	m ə m b a ˈŋ ʊ n k a n
akil	a . k ɪ l
paroki	p a . r o . k i
keempat	k ə ˈə m p a t
perobatan	p ə r ˈɔ b a t a n
pronomina	p r o . n o . ˈm i . n a
petrus	p ə ˈt r ʊ s
arti	a r . t i
puntung	p ʊ n t ʊ ŋ
lapar	ˈl a p a r
mukjizat	m ʊ ʔ ˈd͡ʒ i z a t̚
penghulu	p ə ŋ . ˈh u . l u
katoda	k a . t o . d a
L	ɛ l
ribosom	r i ˈb o s ɔ m
lengkung	l ə ŋ . ˈk ʊ ŋ
berakhiran	b ə r a ˈx ɪ r a n
sekrup	s ə . k r u p
eksim	ˈɛ k . s ɪ m
pangkat	ˈp a ŋ k a t̚
feodal	f e ˈo d a l
maklumat	m a ʔ ˈl u m a t̚
darma	d a r . m a
umat	ˈu m a t̚
kuas	ˈk u a s
BBLR	b e b e ˈɛ l ɛ r
kelurahan	k ə . l u . ˈr a h . a n
glikogen	ɡ l i ˈk o ɡ ɛ n
anglo	a ŋ . l o
bersihan	b ə r . ˈs ɪ h . a n
pertahanan	p ə r t a ˈh a n a n
malem	m a . l ə m
tuas	t u a s
bendu	b ə n . ˈd u
daun	ˈd a ʊ n
hutan	ˈh u t a n
akademi	a k a . d e . m i
karam	ˈk a . r a m
PHBS	p e h a ˈb e ɛ s
mancanegara	m a n . t͡ʃ a . n ə ˈɡ a . r a
ompol	ˈo m . p o l
cuat	ˈt͡ʃ u . a t
nirharapan	n i r h a r a p a n
rela	ˈr e . l a
akeo	a k e o
lebar	ˈl e b a r
sarapan	s a ˈr a p̚ a n
videografer	v i d e o ˈɡ r a f ə r
angrem	a ŋ r ə m
gelis	ɡ ə . ˈl ɪ s
bekintangon	b ɛ k ɪ n ˈt a ŋ ɔ n
khilafah	x i . l a . f a h
beledu	b ə l ə d u
mengamankan	m ə ŋ ˈa m a n k a n
sebentar	s ə ˈb ə n t a r
memperaman	m ə m p ə r ˈa m a n
adorasi	a . d o . ˈr a . s i
ensambel	ɛ n ˈs a m b ə l
hadiah	h a ˈd i j a h
mengubah	m ə ˈŋ u b a h
tayamum	t a ˈj a m ʊ m
kontestan	k ɔ n ˈt ɛ s t a n
meritokratis	m e . r i . t o . ˈk r a . t ɪ s
menyatakan	m ə ɲ a ˈt a k a n
perembesan	p ə . r ə m . b ə s . ˈa n
kopi	k o . p i
berapa	b ə . r a . p a
kepatuhan	k ə . p a . ˈt ʊ h . a n
penggalian	p ə ŋ ˈɡ a l i a n
Belanda	b ə . l a n . d a
maktub	ˈm a k t u b
Sarawak	s a ˈr a w a ʔ
amra	a m r a
permukaan	p ə r . m u . k a . a n
diet	ˈd i e t̚
pleidoi	ˈp l e i . d o i̯
suara	s u . ˈw ä . r ä
kuilu	k u ˈi . l u
