a	a
aaleniana	a l e ˈn j a n a
aalenianas	a l e ˈn j a n a s
aaleniano	a l e ˈn j a n o
aalenianos	a l e ˈn j a n a s
Aarón	a a ˈɾ o n
aba	ˈa b a
abaá	a b a ˈa
Ababa	a ˈb a b a
ababa	a ˈb a b a
ababábite	a b a ˈb a b i t e
ababilla	a b a ˈb i ʝ a
ababillaba	a b a b i ˈʝ a b a
ababillabais	a b a b i ˈʝ a b a i s
ababillábamos	a b a b i ˈʝ a b a m o s
ababillaban	a b a b i ˈʝ a b a n
ababillabas	a b a b i ˈʝ a b a s
ababillada	a b a b i ˈʝ a d a
ababilladas	a b a b i ˈʝ a d a s
ababillados	a b a b i ˈʝ a d o s
ababilláis	a b a b i ˈʝ a i s
ababillamos	a b a b i ˈʝ a m o s
ababillan	a b a ˈb i ʝ a n
ababillándome	a b a b i ˈʝ a n d o m e
ababillándonos	a b a b i ˈʝ a n d o n o s
ababillándoos	a b a b i ˈʝ a n d o o s
ababillándose	a b a b i ˈʝ a n d o s e
ababillándote	a b a b i ˈʝ a n d o t e
ababillaos	a b a b i ˈʝ a o s
ababillar	a b a b i ˈʝ a ɾ
ababillara	a b a b i ˈʝ a ɾ a
ababillará	a b a b i ʝ a ˈɾ a
ababillarais	a b a b i ˈʝ a ɾ a i s
ababilláramos	a b a b i ˈʝ a ɾ a m o s
ababillaran	a b a b i ˈʝ a ɾ a n
ababillarán	a b a b i ʝ a ˈɾ a n
ababillaras	a b a b i ˈʝ a ɾ a s
ababillarás	a b a b i ʝ a ˈɾ a s
ababillare	a b a b i ˈʝ a ɾ e
ababillaré	a b a b i ʝ a ˈɾ e
ababillareis	a b a b i ˈʝ a ɾ e i s
ababillaréis	a b a b i ʝ a ˈɾ e i s
ababillaremos	a b a b i ʝ a ˈɾ e m o s
ababilláremos	a b a b i ˈʝ a ɾ e m o s
ababillaren	a b a b i ˈʝ a ɾ e n
ababillares	a b a b i ˈʝ a ɾ e s
ababillaría	a b a b i ʝ a ˈɾ i a
ababillaríais	a b a b i ʝ a ˈɾ i a i s
ababillaríamos	a b a b i ʝ a ˈɾ i a m o s
ababillarían	a b a b i ʝ a ˈɾ i a n
ababillarías	a b a b i ʝ a ˈɾ i a s
ababillarme	a b a b i ˈʝ a ɾ m e
ababillarnos	a b a b i ˈʝ a ɾ n o s
ababillaron	a b a b i ˈʝ a ɾ o n
ababillaros	a b a b i ˈʝ a ɾ o s
ababillarse	a b a b i ˈʝ a ɾ s e
ababillarte	a b a b i ˈʝ a ɾ t e
ababillas	a b a ˈb i ʝ a s
ababillás	a b a b i ˈʝ a s
ababillase	a b a b i ˈʝ a s e
ababillaseis	a b a b i ˈʝ a s e i s
ababillásemos	a b a b i ˈʝ a s e m o s
ababillasen	a b a b i ˈʝ a s e n
ababillases	a b a b i ˈʝ a s e s
ababillaste	a b a b i ˈʝ a s t e
ababillasteis	a b a b i ˈʝ a s t e i s
ababillate	a b a b i ˈʝ a t e
ababíllate	a b a ˈb i ʝ a t e
ababille	a b a ˈb i ʝ e
ababillé	a b a b i ˈʝ e
ababilléis	a b a b i ˈʝ e i s
ababillémonos	a b a b i ˈʝ e m o n o s
ababillemos	a b a b i ˈʝ e m o s
ababillen	a b a ˈb i ʝ e n
ababíllense	a b a ˈb i ʝ e n s e
ababilles	a b a ˈb i ʝ e s
ababillés	a b a b i ˈʝ e s
ababíllese	a b a ˈb i ʝ e s e
ababillo	a b a ˈb i ʝ o
ababilló	a b a b i ˈʝ o
ababol	a b a ˈb o l
ababuy	a b a ˈb u i
abacá	a b a ˈk a
abacalera	a b a k a ˈl e ɾ a
abacalero	a b a k a ˈl e ɾ o
ábaco	ˈa b a k o
abacora	a b a ˈk o ɾ a
abacorá	a b a k o ˈɾ a
abacoraba	a b a k o ˈɾ a b a
abacorabais	a b a k o ˈɾ a b a i s
abacorábamos	a b a k o ˈɾ a b a m o s
abacoraban	a b a k o ˈɾ a b a n
abacorabas	a b a k o ˈɾ a b a s
abacorad	a b a k o ˈɾ a d
abacorada	a b a k o ˈɾ a d a
abacoradas	a b a k o ˈɾ a d a s
abacorado	a b a k o ˈɾ a d o
abacorados	a b a k o ˈɾ a d o s
abacoráis	a b a k o ˈɾ a i s
abacoramos	a b a k o ˈɾ a m o s
abacoran	a b a ˈk o ɾ a n
abacorando	a b a k o ˈɾ a n d o
abacorar	a b a k o ˈɾ a ɾ
abacorara	a b a k o ˈɾ a ɾ a
abacorará	a b a k o ɾ a ˈɾ a
