'day	ˈd a j
'di	d i ʔ
'di	d e ʔ
'eka	ˈʔ e k a ʔ
'eka	ʔ e ˈk a ʔ
'ika	ˈʔ i k a ʔ
'ika	ʔ i ˈk a ʔ
'ka	ˈk a ʔ
'no	ˈn o
'ng	ŋ
't	t
'tsaka	t s a ˈk a ʔ
'y	j
'yo	ˈj o
A	ˈʔ e j
A	ˈʔ a
A	a
a	ˈʔ e j
a	ˈʔ a
a	a
a	ˈʔ a
a	ˈʔ a ʔ
a	ˈʔ a
aa	ʔ a ˈʔ a ʔ
aa	ˈʔ a ʔ a ʔ
aa	ˈʔ a ʔ a
aa	ʔ a ˈʔ a ʔ
aaa	ʔ a ʔ a ˈʔ a ʔ
aaaban	ʔ a ʔ a ʔ a ˈb a n
aab	ʔ a ˈʔ a b
aaban	ʔ a ʔ a ˈb a n
aabisuhan	ʔ a ʔ a b i ˈs u h a n
aak	ʔ a ˈʔ a k
aakyat	ʔ a ʔ a k ˈj a t
aam	ʔ a ˈʔ a m
aamyendahan	ʔ a ʔ a m ˌj e n d a ˈh a n
aap	ʔ a ˈʔ a p
aarawan	ʔ a ʔ a ˈɾ a w a n
aawat	ʔ a ˈʔ a w a t
aba	ʔ a ˈb a ʔ
aba	ʔ a ˈb a
abad	ʔ a ˈb a d
Abad	ʔ a ˈb a d
Abadiano	ʔ a b a d ˈj a n o
Abadilla	ʔ a b a ˈd i l j a
abahin	ʔ a b a ˈh i n
abain	ʔ a b a ˈʔ i n
abaka	ʔ a b a ˈk a
abakada	ʔ a b a ˈk a d a
abako	ʔ a b a ˈk o
abako	ˈʔ a b a k o
abakus	ˈʔ a b a k u s
abala	ʔ a ˈb a l a
abala	ʔ a b a ˈl a
abalahin	ʔ a b a ˈl a h i n
abaloryo	ʔ a b a ˈl o ɾ j o
Abalos	ˈʔ a b a l o s
abanderado	ʔ a b a n d e ˈɾ a d o
abandonado	ʔ a b a n d o ˈn a d o
abaniko	ʔ a b a ˈn i k o
abanse	ʔ a ˈb a n s e
abante	ʔ a ˈb a n t e
abang	ʔ a ˈb a ŋ
abangan	ˌʔ a ˈb a ŋ a n
abangan	ʔ a b a ˈŋ a n
Abarca	ʔ a ˈb a ɾ k a
abaseriya	ʔ a b a s e ˈɾ i a
abasero	ʔ a b a ˈs e ɾ o
abat	ʔ a ˈb a t
abatan	ˌʔ a ˈb a t a n
abatan	ʔ a b a ˈt a n
abay	ˈʔ a b a j
abay	ʔ a ˈb a j
Abaya	ʔ a ˈb a j a
abayan	ʔ a ˈb a j a n
abayan	ʔ a b a ˈj a n
abdikasyon	ʔ a b d i k a s ˈj o n
Abdurahman	ʔ a b d u ˈɾ a h m a n
Abe	ˈʔ a b e
Abejuela	ˌʔ a b e h u ˈe l a
Abelgas	ʔ a b e l ˈɡ a s
Abella	ʔ a ˈb e l j a
Abellano	ʔ a b e l ˈj a n o
