binasa	b i ˈn a s a
retraksiyon	ɾ e t ɾ a k s i ˈo n
balita	b a ˈl i t a ʔ
tinikling	t i n i k ˈl i ŋ
instituto	ʔ i n s t i ˈt u t o
doktora	d o k ˈt o ɾ a
lahi	ˈl a h i ʔ
Abarca	ʔ a ˈb a ɾ k a
magulo	m a ɡ u ˈl o
angkan	ʔ a ŋ ˈk a n
akrostik	ʔ a k ˈɾ o s t i k
Barayuga	b a ɾ a ˈj u ɡ a
singsing	s i ŋ ˈs i ŋ
dating	d a ˈt i ŋ
bilyon	b i l ˈj o n
ritrato	ɾ i t ˈɾ a t o
samo	ˈs a m o ʔ
ahon	ˈʔ a h o n
Korean	k o ˈɾ i a n
magaan	m a ɡ a ˈʔ a n
Z	z i
kupo	ˈk u p o ʔ
tsokolate	t͡ʃ o k o ˈl a t e
Ruedas	ɾ u ˈe d a s
siklo	ˈs i k l o
Bulan	ˈb u l a n
Lupa	ˈl u p a ʔ
es	ʔ e s
magpaliwanag	m a ɡ p a l i ˈw a n a ɡ
kalumbahin	k a l u m b a ˈh i n
tahure	ˈt a h u ɾ e
lalamunan	l a l a ˈm u n a n
magsuot	m a ɡ s u ˈʔ o t
maselan	m a ˈs e l a n
kapsula	ˈk a p s u l a
lamasin	l a ˈm a s i n
tagapamagitan	t a ɡ a p a m a ˈɡ i t a n
sinsay	s i n ˈs a j
mangagat	m a ŋ a ˈɡ a t
emyenda	ʔ e m ˈj e n d a
rambol	ˈɾ a m b o l
haro	ˈh a ɾ o
kuha	ˈk u h a
Manahan	m a ˈn a h a n
taklip	t a k ˈl i p
daungan	ˌd a ˈʔ u ŋ a n
masikip	m a s i ˈk i p
kalahok	k a l a ˈh o k
purgatoryo	p u ɾ ɡ a ˈt o ɾ j o
Hamayka	h a ˈm a j k a
tsang	ˈt͡ʃ a ŋ
sutla	s u t ˈl a ʔ
Singapura	s i ŋ a ˈp u ɾ a
wiski	ˈw i s k i
anislag	ʔ a ˈn i s l a ɡ
Rodrigo	ɾ o d ˈɾ i ɡ o
Odeste	ʔ o ˈd e s t e
lindayag	l i n ˈd a j a ɡ
tanawan	t a ˈn a w a n
Masilungan	m a s i ˈl u ŋ a n
kasoy	k a ˈs o j
Corazon	k o ɾ a ˈz o n
asinan	ʔ a ˈs i n a n
magsimba	m a ɡ s i m ˈb a
ruwina	ɾ u ˈi n a
botelya	b o ˈt e l j a
bituka	b i ˈt u k a
pupu	ˈp u p u ʔ
Tupa	ˈt u p a
initsupil	ˌʔ i n i t ˈs u p i l
pakialam	p a k i ʔ a ˈl a m
dengge	ˈd e ŋ ɡ e
ditablo	d i t a b ˈl o
pisikalan	ˌp i s i ˈk a l a n
kalumbaba	k a l u m ˈb a b a ʔ
tanghal	t a ŋ ˈh a l
suminga	s u m i ˈŋ a
paniniwala	p a n i n i ˈw a l a ʔ
deskripsiyon	d e s k ɾ i p s i ˈo n
masuwerte	m a s u ˈe ɾ t e
alitaptap	ʔ a l i t a p ˈt a p
hangganan	h a ŋ ˈɡ a n a n
ohetes	ʔ o ˈh e t e s
gulat	ˈɡ u l a t
magyaya	m a ɡ ˈj a j a ʔ
tsireta	t͡ʃ i ˈɾ e t a
Saog	ˈs a ʔ o ɡ
solipsismo	s o l i p ˈs i s m o
Ann	ˈʔ a n
dismayado	d i s m a ˈj a d o
Tauro	ˈt a w ɾ o
kasal	k a ˈs a l
balana	ˈb a l a n a
nagpapaubaya	n a ɡ p a p a ʔ u ˈb a j a ʔ
Salva	ˈs a l v a
budots	b u ˈd o t s
dalahik	d a ˈl a h i k
takatak	t a k a ˈt a k
lantutay	l a n ˈt u t a j
lodi	ˈl o d i
mo	m o
okultismo	ʔ o k u l ˈt i s m o
tinik	t i ˈn i k
Aplasca	ʔ a p ˈl a s k a
bumigay	b u m i ˈɡ a j
sapantaha	s a p a n ˈt a h a ʔ
Cacao	k a ˈk a w
dado	ˈd a d o
tigmata	t i ɡ m a ˈt a
kontralason	k o n t ɾ a ˈl a s o n
tauhan	t a ˈʔ u h a n
bahid	ˈb a h i d
timbanin	t i m ˈb a n i n
alipunga	ʔ a l i p u ˈŋ a
libra	ˈl i b ɾ a
lithaw	l i t ˈh a w
Eukaristiya	j u k a ɾ i s ˈt i a
magkuwenta	m a ɡ k u ˈe n t a
uraw	ʔ u ˈɾ a w
Cajucom	k a ˈh u k o m
Agusan	ʔ a ˈɡ u s a n
tiyope	t i ˈo p e ʔ
maleta	m a ˈl e t a
ortograpiya	ʔ o ɾ t o ɡ ɾ a ˈp i a
tinedyer	t i ˈn e d j e ɾ
kuwento	k u ˈe n t o
asupre	ʔ a ˈs u p ɾ e
Isko	ʔ i s ˈk o ʔ
pinapagtalunan	p i ˌn a p a ɡ t a ˈl u n a n
ganire	ɡ a n i ˈɾ e
eskarlata	ʔ e s k a ɾ ˈl a t a
inaanak	ʔ i ˌn a ʔ a ˈn a k
kakabig	k a ˈk a b i ɡ
Cueto	k u ˈe t o
redaksiyon	ɾ e d a k s i ˈo n
Quintos	ˈk i n t o s
kawingan	k a ˈw i ŋ a n
punongkahoy	ˌp u n o ŋ ˈk a h o j
datung	d a ˈt u ŋ
Arnaiz	ʔ a ɾ ˈn a ʔ i s
barker	ˈb a ɾ k e ɾ
tangke	t a ŋ ˈk e
mababangis	m a b a b a ˈŋ i s
Megumi	m e ˈɡ u m i
Diaz	ˈd i a s
tapas	ˈt a p a s
giwa	ˈɡ i w a ʔ
muyangit	m u ˈj a ŋ i t
lirika	ˈl i ɾ i k a
pinabubulaanan	p i n a b u b u l a ˈʔ a n a n
sibasib	s i ˈb a s i b
pamilyado	p a m i l ˈj a d o
