абсурдно	ɛ b s u r d n ɔ
демократично	d ɪ m ɔ k r ɛ t ɪ t͡ʃ n ɔ
вишня	ʋ ɪ ʃ nʲ ɛ
самобутній	s ɛ m ɔ b u tʲ nʲ i i
сатана	s ɛ t ɛ n ɑ
гонор	ɦ ɔ n ɔ r
чудій	t͡ʃ u dʲ i i
задоволення	z ɛ d ɔ ʋ ɔ ɫ ɪ nʲ ɛ
афганський	ɛ f ɦ ɑ nʲ sʲ k ɪ i
обурення	ɔ b u r ɪ nʲ ɛ
господинею	ɦ ɔ s p ɔ d ɪ n ɪ j u
горище	ɦ ɔ r ɪ ʃ t͡ʃ ɪ
шпиталь	ʃ p ɪ t ɑ lʲ
літ	lʲ i t
кіберпростір	k i b ɪ r p r ɔ sʲ tʲ i r
ведмідь	ʋ ɪ dʲ m i dʲ
елефант	ɪ ɫ ɪ f ɑ n t
повільно	p ɔ ʋ i lʲ n ɔ
автобусна	ɛ u t ɔ b u s n ɛ
зустрічатися	z u s tʲ rʲ i t͡ʃ ɑ t ɪ sʲ ɛ
щокою	ʃ t͡ʃ ɔ k ɔ j u
оленина	ɔ ɫ ɪ n ɪ n ɛ
космодром	k ɔ s m ɔ d r ɔ m
поступку	p ɔ s t u p k u
ознайомлення	ɔ z n ɛ j ɔ m ɫ ɪ nʲ ɛ
великодушність	ʋ ɪ ɫ ɪ k ɔ d u ʃ nʲ i sʲ tʲ
другий	d r u ɦ ɪ i
свіча	sʲ ʋ i t͡ʃ ɛ
капітал	k ɛ p i t ɑ ɫ
сьомий	sʲ ɔ m ɪ i
весь	ʋ ɛ sʲ
ім'я	i m j ɛ
погода	p ɔ ɦ ɔ d ɛ
тис	t ɪ s
насолодитися	n ɛ s ɔ ɫ ɔ d ɪ t ɪ sʲ ɛ
чорт	t͡ʃ ɔ r t
магній	m ɑ ɦ nʲ i i
каплиці	k ɛ p ɫ ɪ t͡sʲ i
спостерегти	s p ɔ s t ɪ r ɪ ɦ t ɪ
справами	s p r ɑ ʋ ɛ m ɪ
празник	p r ɑ z n ɪ k
перевиховати	p ɪ r ɪ ʋ ɪ x ɔ ʋ ɛ t ɪ
свояк	s ʋ ɔ j ɑ k
хрін	x rʲ i n
полк	p ɔ ɫ k
жлуктити	ʒ ɫ u k t ɪ t ɪ
громико	ɦ r ɔ m ɪ k ɔ
безсторонність	b ɪ z s t ɔ r ɔ nʲ i sʲ tʲ
незалежности	n ɪ z ɛ ɫ ɛ ʒ n ɔ s t ɪ
систематизувати	s ɪ s t ɪ m ɛ t ɪ z u ʋ ɑ t ɪ
дровця	d r ɔ u t͡sʲ ɑ
діагностувати	dʲ i ɛ ɦ n ɔ s t u ʋ ɑ t ɪ
досягнення	d ɔ sʲ ɑ ɦ n ɪ nʲ ɛ
авіарозвідка	ɛ ʋ i ɛ r ɔ zʲ ʋ i d k ɛ
ідеальний	i d ɪ ɑ lʲ n ɪ i
завдяки	z ɛ u dʲ ɛ k ɪ
страйк	s t r ɑ i k
нерішучість	n ɪ rʲ i ʃ u t͡ʃʲ i sʲ tʲ
трохи	t r ɔ x ɪ
лов	ɫ ɔ u
тунелях	t u n ɛ lʲ ɛ x
пастка	p ɑ s t k ɛ
з'їсти	z j i s t ɪ
лекцією	ɫ ɛ k t͡sʲ i j ɪ j u
обговорювати	ɔ b ɦ ɔ ʋ ɔ rʲ u ʋ ɛ t ɪ
сімсот	sʲ i m s ɔ t
педагог	p ɪ d ɛ ɦ ɔ ɦ
багатокутник	b ɛ ɦ ɛ t ɔ k u t n ɪ k
артерію	ɛ r t ɛ rʲ i j u
сахар	s ɑ x ɛ r
щоразу	ʃ t͡ʃ ɔ r ɑ z u
лакрос	ɫ ɛ k r ɔ s
гординя	ɦ ɔ r d ɪ nʲ ɛ
жінка	ʒʲ i n k ɛ
спідницею	sʲ p i d n ɪ t͡s ɪ j u
родина	r ɔ d ɪ n ɛ
підсумок	p i d͡z s u m ɔ k
гончар	ɦ ɔ n t͡ʃ ɑ r
три	t r ɪ
багатолюдний	b ɛ ɦ ɛ t ɔ lʲ u d n ɪ i
піддержати	p i d ɛ r ʒ ɛ t ɪ
навичка	n ɑ ʋ ɪ t͡ʃ k ɛ
пивний	p ɪ u n ɪ i
мінімальний	m i nʲ i m ɑ lʲ n ɪ i
священик	sʲ ʋ ɛ ʃ t͡ʃ ɛ n ɪ k
занотувати	z ɛ n ɔ t u ʋ ɑ t ɪ
маршрутка	m ɛ r ʃ r u t k ɛ
епохи	ɪ p ɔ x ɪ
неприйнятний	n ɪ p r ɪ i nʲ ɛ t n ɪ i
федорович	f ɪ d ɔ r ɔ ʋ ɪ t͡ʃ
причинний	p r ɪ t͡ʃ ɪ n ɪ i
підозра	p i d ɔ z r ɛ
ховати	x ɔ ʋ ɑ t ɪ
іспанія	i s p ɑ nʲ i j ɛ
забруднення	z ɛ b r u d n ɪ nʲ ɛ
рішення	rʲ i ʃ ɪ nʲ ɛ
сьодні	sʲ ɔ dʲ nʲ i
оберігати	ɔ b ɪ rʲ i ɦ ɑ t ɪ
авізування	ɛ ʋ i z u ʋ ɑ nʲ ɛ
втратити	ʋ t r ɑ t ɪ t ɪ
приїжджати	p r ɪ j i ʒ d͡ʒ ɑ t ɪ
обдаровувати	ɔ b d ɛ r ɔ ʋ u ʋ ɛ t ɪ
туман	t u m ɑ n
коштувати	k ɔ ʃ t u ʋ ɛ t ɪ
щотижневий	ʃ t͡ʃ ɔ t ɪ ʒ n ɛ ʋ ɪ i
курбико	k u r b ɪ k ɔ
незалежності	n ɪ z ɛ ɫ ɛ ʒ n ɔ sʲ tʲ i
гостювати	ɦ ɔ sʲ tʲ u ʋ ɑ t ɪ
прабабуся	p r ɛ b ɛ b u sʲ ɛ
капітулювати	k ɛ p i t u lʲ u ʋ ɑ t ɪ
пестицид	p ɪ s t ɪ t͡s ɪ d
стільниковий	sʲ tʲ i lʲ n ɪ k ɔ ʋ ɪ i
доросла	d ɔ r ɔ s ɫ ɛ
протитанковий	p r ɔ t ɪ t ɑ n k ɔ ʋ ɪ i
королівство	k ɔ r ɔ lʲ i u s t ʋ ɔ
вус	ʋ u s
трактор	t r ɑ k t ɔ r
кубанський	k u b ɑ nʲ sʲ k ɪ i
кар'єра	k ɛ r j ɛ r ɛ
піч	p i t͡ʃ
фінляндія	f i nʲ lʲ ɑ nʲ dʲ i j ɛ
конфлікт	k ɔ n f lʲ i k t
руанда	r u ɑ n d ɛ
мандрувати	m ɛ n d r u ʋ ɑ t ɪ
пекарні	p ɪ k ɑ r nʲ i
непомірний	n ɪ p ɔ m i r n ɪ i
конкретний	k ɔ n k r ɛ t n ɪ i
представниця	p r ɪ d͡z s t ɛ u n ɪ t͡sʲ ɛ
лебединий	ɫ ɪ b ɪ d ɪ n ɪ i
ложа	ɫ ɔ ʒ ɛ
посередник	p ɔ s ɪ r ɛ d n ɪ k
користь	k ɔ r ɪ sʲ tʲ
груша	ɦ r u ʃ ɛ
металевий	m ɪ t ɛ ɫ ɛ ʋ ɪ i
розібрати	r ɔ zʲ i b r ɑ t ɪ
кожух	k ɔ ʒ u x
пшениця	p ʃ ɪ n ɪ t͡sʲ ɛ
авіадивізія	ɛ ʋ i ɛ d ɪ ʋ i zʲ i j ɛ
станцією	s t ɑ nʲ t͡sʲ i j ɪ j u
баба	b ɑ b ɛ
тесть	t ɛ sʲ tʲ
краб	k r ɑ b
найдружелюбніший	n ɛ i d r u ʒ ɪ lʲ u b nʲ i ʃ ɪ i
календарів	k ɛ ɫ ɪ n d ɛ rʲ i u
недоступний	n ɪ d ɔ s t u p n ɪ i
втрачати	ʋ t r ɛ t͡ʃ ɑ t ɪ
роззброювати	r ɔ z b r ɔ j u ʋ ɛ t ɪ
безпрецедентний	b ɪ z p r ɪ t͡s ɪ d ɛ n t n ɪ i
відлічити	ʋ i dʲ lʲ i t͡ʃ ɪ t ɪ
десерт	d ɪ s ɛ r t
клавіатур	k ɫ ɛ ʋ i ɛ t u r
вмикати	ʋ m ɪ k ɑ t ɪ
зрадниця	z r ɑ d n ɪ t͡sʲ ɛ
комедією	k ɔ m ɛ dʲ i j ɪ j u
зворотний	z ʋ ɔ r ɔ t n ɪ i
тротуари	t r ɔ t u ɑ r ɪ
ізраїльтянин	i z r ɛ j i lʲ tʲ ɑ n ɪ n
чудовисько	t͡ʃ u d ɔ ʋ ɪ sʲ k ɔ
тацях	t ɑ t͡sʲ ɛ x
уста	u s t ɑ
розпочати	r ɔ z p ɔ t͡ʃ ɑ t ɪ
перевірити	p ɪ r ɪ ʋ i r ɪ t ɪ
сир	s ɪ r
динаміка	d ɪ n ɑ m i k ɛ
абортувати	ɛ b ɔ r t u ʋ ɑ t ɪ
оподаткувати	ɔ p ɔ d ɛ t k u ʋ ɑ t ɪ
госпіталізація	ɦ ɔ sʲ p i t ɛ lʲ i z ɑ t͡sʲ i j ɛ
