देवनागरी	d̪eʋnɑɡɑri
दोमट	d̪omʌʈ
अणु	ʌɳu
राजाराम	rɑd͡ʒɑrɑm
जोरो	d͡ʒoro
धर्ता	d̪ʱʌrt̪ɑ
कलैया	kʌlɑijɑ
बान्की	bɑŋki
अदलबदल	ʌd̪lʌbʌd̪l
चस्क	t͡ʃʌsk
पोर्ट	poʈ
अरुन्धती	ʌruɳd̪ʱʌt̪i
बुकी	buki
बुढिया	bud̪ʱijɑ
फट्कार्	pʰʌʈkɑr
इन्डिया	in̪d̪ijɑ
बक्	bʌk
मापन	mɑpʌn
कुक्रुक्क	kukrukuk
चिन्	t͡ʃin
आहृत	ɑhrit̪
बढुवा	bʌd̪ʱʌʋɑ
कोप्चि	kopʈ͡ʃi
लुटपुट	luʈpʌʈ
छयहत्तर	t͡ʃʌjʌhʌʈʈʌr
लोकराज	lokɑrɑd͡ʒ
चिरस्मरणीय	t͡ʃirʌsmʌrɑɳij
चौटा	t͡ʃɔʈɑ
जतासुकै	d͡ʒʌt̪ɑsukɑi
महानिर्वाचन	mʌhɑnirʋɑt͡ʃʌn
जिब्रो	d͡ʒibro
काइदा	kɑid̪ɑ
खरीसाउँलो	kʰʌrisɑulo
मकमक	mʌkmʌk
उझिन्ड्याउ	ujʰin̪d̪jɑu
एसी	esi
बाईस	bɑis
झ्याली	d͡ʒʰjɑli
प्रदर्शनकारी	prʌd̪ʌrʃʌn̪kɑri
दस्तखत	d̪ʌst̪ʌkʰʌt̪
पक्षी	pʌkʃi
जनसाधारण	d͡ʒʌn̪ʌsɑd̪ʱɑrʌɳ
कठपाइले	kʌʈʰpɑile
हलचल	ɦʌlt͡ʃʌl
प्रतिदिन	prʌt̪id̪in
नेप्टि	nepʈi
बग्रेन	bʌɡren
खाग्सी	kʰɑɡsi
धातु	d̪ʱɑt̪u
आश्रम	ɑʃrʌm
बेसुर	b e s u r
उवासंघ	u v a: s ŋ ɦ
संसाधन	s ə n s a: d̪ ʱ ə n
अनुलोम	ə n u l o: m
रिवाज	r i v a: d͡z
गर्भे	ɡ ə r bʱ e:
गोत्र	ɡ o: t̪ r
सतह	s ə t̪ ə ʱ
घ्न	ɡʱ n
विवश	v i v ə ʃ
पाण्डव	p a: ɳ ɖ ə v
गुड्ड	ɡ u ɖ: ɖ
उच्च	u t͡ʃ: t͡ʃ
सानोठिमी	s a: n o ʈʰ i m i:
महामाया	m ə ʱ a: m a: j a:
सरिशृप	s ə r i ʃ r̩ p
आदर्शवादी	ɑ: d̪ ə r ʃ v a: d̪ i:
काव्यचेतना	k a: v j ə t͡ʃ e t̪ ə n a:
छेका	t͡ʃʰ e k a:
एक्कासि	e k: a: s i
लिपि	l i p i
ठेलाइ	ʈʰ e l a: i
भित्ति	bʱ i t̪: t̪ i
पितित्त	p i t̪ i t̪: t̪
