balairung	b a . ˈl a i̯ . r ʊ ŋ
gen	ˈɡ ɛ n
kapas	ˈk a . p a s
eceran	ˈɛ t͡ʃ ɛ r a n
nasabah	n a ˈs a b a h
emas	ə m a s
vokal	ˈv o . k a l
bobot	ˈb o . b ɔ t̚
peremajaan	p ə . r ə . m a . ˈd͡ʒ a . a n
instrumental	ɪ n . s t r u . ˈm ɛ n . t a l
mu	m u
bajing	ˈb a . d͡ʒ ɪ ŋ
tenge	ˈt e ŋ e
senter	ˈs ɛ n t ə r
juag	ˈd͡ʒ u a k̚
arit	a . r i t
lajak	ˈl a d͡ʒ a k̚
rahayu	r a ˈh a j u
gatal	ɡ a . t a l
antarpemain	a n t a r p ə ˈm a ɪ n
pleidoi	ˈp l e i . d o i̯
administratur	a t̚ m i n ɪ s t r a t ʊ r
agar	ˈa ɡ a r
pendarahan	p ə n . d a . ˈr a h . a n
pameget	p a . m ə . ɡ ə t
ancai	ˈa n t͡ʃ a i̯
akil	a . k ɪ l
angai	ˈa ŋ a i̯
sentralistis	s ɛ n t r a ˈl ɪ s t ɪ s
hadirat	h a ˈd i r a t̚
negeri	n ə ɡ ə r i
pronomina	p r o . n o . ˈm i . n a
perjaka	p ə r . ˈd͡ʒ a . k a
lansia	l a n ˈs i a
wasana	w a ˈs a n a
pengawasan	p ə ŋ a ˈw a s a n
dolfin	ˈd ɔ l . f i n
pekerti	p ə k ə r ˈt i
bersedia	a b o n ə m ɛ n
vetsin	v ɛ t . ʃ i n
anehe	ˈa n e h e
masyarakat	m a ʃ a ˈr a k a t̚
selalu	s ə l a l u
keadilan	k ə ˈa d ɪ l a n
abilah	ˈa b i l a h
pengungsi	p ə ŋ . ˈʊ ŋ . s i
eco	ˈe . t͡ʃ o
kempis	k ə m ˈp ɪ s
sandung	ˈs a n d ʊ ŋ
amo	ˈa m o
ustaz	ˈʊ s t a z
anggrang	ˈa ŋ . ɡ r a ŋ
malem	m a . l ə m
dansa	d a n . s a
amonga	ˈa m o ŋ a
nyiur	ˈɲ j u r
lengah	ˈl ɛ ŋ a h
amfibi	a m ˈf i b i
tahap	ˈt a . h a p
awur	ˈa w ʊ r
deduksi	d e ˈd ʊ k s i
bam	ˈb a m
perak	ˈp e . r a k
tegap	t ə ˈɡ a p̚
wudu	ˈw u . d u
reanimasi	r e a n i m a s i
sembrono	s ə m . ˈb ə̆ r o . n o
damkar	d a m . k a r
peka	ˈp e . k a
amah	a m a h
voli	ˈv o . l i
obesitas	o b ɛ . s i . t a s
pinta	ˈp i n t a
meninggali	m ə ˈn i ŋ . ɡ a ˈl i
laher	l a . h ə r
polen	ˈp o l ə n
kegiatan	k ə . ɡ i . ˈa t . a n
riba	ˈr i b a
berbahasa	b ə r b a ˈh a s a
mengalir	m ə ŋ . ˈa . l ɪ r
lelang	ˈl ɛ l a ŋ
kumico	k u . m i . t͡ʃ o
kehidupan	k ə . h i . ˈd ʊ p . a n
membunuh	m ə m b u n ʊ h
padri	p a d r i
sijil	s i d͡ʒ ɪ l
masjid	ˈm a s d͡ʒ ɪ t̚
pencitraan	p ə ŋ t͡ʃ i ˈt r a a n
lengkung	l ə ŋ . ˈk ʊ ŋ
tindas	ˈt ɪ n d a s
perengkahan	p ə . r ə ŋ . ˈk a h . a n
suci	s u . t͡ʃ i
bodok	ˈb o d ɔ k̚
antigen	a n . ˈt i . ɡ ɛ n
elektrode	ɛ . l ɛ k . t r o . d e
audite	a u̯ . ˈd i . t e
defile	d e ˈf i l e
kuil	k u ɪ l
puri	p u . r i
burung	ˈb u . r ʊ ŋ
balur	ˈb a l ʊ r
azan	ˈa z a n
paleontologi	p a . l e . ɔ n . t o . ˈl o . ɡ i
kultivar	k ʊ l . ˈt i . v a r
kerosin	k e ˈr o s ɪ n
makan	m a . k a n
bangsa	b a ŋ . s a
romo	ˈr o m o
galer	ɡ a . l e r
banyak	b a ɲ a k
deplesi	d e ˈp l e s i
tipu	t i . p u
itu	ˈi t u
kenceng	k ə n . t͡ʃ ə ŋ
pulut	ˈp u l ʊ t̚
imam	i . m a m
kopi	k o . p i
hantu	ˈh a n . t u
menganiayai	m ə ŋ a n i a j a i
derita	d ə . r i . t a
torsi	t o r . s i
beradab	b ə r ˈa d a p̚
pembangkang	p ə m ˈb a ŋ k a ŋ
mama	ˈm a m a
