bayawak	b a ˈj a w a k
pabor	p a ˈb o ɾ
Cobarrubias	k o b a ˈɾ u b j a s
luminis	l u ˈm i n i s
Arevalo	ʔ a ˈɾ e v a l o
malikhain	m a l i k ˈh a ʔ i n
Kuwaresma	k u a ˈɾ e s m a
propesyonalismo	p ɾ o p e s j o n a ˈl i s m o
ingkorporasyon	ʔ i ŋ k o ɾ p o ɾ a s ˈj o n
Lumibao	l u ˈm i b a w
mahinhin	m a h i n ˈh i n
sapak	s a ˈp a k
lamasin	l a ˈm a s i n
letsugas	l e ˈt͡ʃ u ɡ a s
panwelo	p a n ˈw e l o
milagro	m i ˈl a ɡ ɾ o
Collado	k o l ˈj a d o
kolehiyal	k o l e h i ˈa l
samo	ˈs a m o ʔ
mambabarang	ˌm a m b a ˈb a ɾ a ŋ
bibliyoteka	b i b l i o ˈt e k a
magaan	m a ɡ a ˈʔ a n
literatura	l i t e ɾ a ˈt u ɾ a
z	z i
Clemente	k l e ˈm e n t e
mamuhay	m a ˈm u h a j
entero	ʔ e n ˈt e ɾ o
teista	t e ˈi s t a
korido	k o ˈɾ i d o
rehente	ɾ e ˈh e n t e
ibabaan	ʔ i b a b a ˈʔ a n
patol	ˈp a t o l
pinansiyal	p i ˌn a n s i ˈa l
sigwasan	s i ɡ ˈw a s a n
Gabaldon	ɡ a b a l ˈd o n
pinapagtawanan	p i ˌn a p a ɡ t a w a ˈn a n
bulsa	b u l ˈs a
baligtad	b a l i ɡ ˈt a d
balimbing	b a l i m ˈb i ŋ
asog	ˈʔ a s o ɡ
matitibay	m a t i ˈt i b a j
Cu	ˈk u
Heminis	ˈh e m i n i s
Cavite	k a ˈv i t e
giwa	ˈɡ i w a ʔ
Odeste	ʔ o ˈd e s t e
Lascano	l a s ˈk a n o
sumunod	s u m u ˈn o d
konsumido	k o n s u ˈm i d o
bokya	ˈb o k j a ʔ
misis	ˈm i s i s
Montemayor	m o n t e m a ˈj o ɾ
bungaw	b u ˈŋ a w
halumigmig	h a l u m i ɡ ˈm i ɡ
makuha	m a ˈk u h a
butot	b u ˈt o t
langhap	l a ŋ ˈh a p
ermita	ʔ e ɾ ˈm i t a
bansalagin	b a n s a l a ˈɡ i n
kakabig	k a ˈk a b i ɡ
bansot	b a n ˈs o t
nabuwisit	n a b u ˈi s i t
pagerper	ˌp a ˈɡ e ɾ p e ɾ
luwang	l u ˈa ŋ
perspektiba	p e ɾ s p e k ˈt i b a
tsitsa	ˈt͡ʃ i t͡ʃ a
makaramdam	m a k a ɾ a m ˈd a m
eksperimento	ʔ e k s p e ɾ i ˈm e n t o
tako	ˈt a k o
hirol	ˈh i ɾ o l
Indotsina	ʔ i n d o ˈt͡ʃ i n a
alisangsang	ʔ a l i s a ŋ ˈs a ŋ
Libjo	l i b ˈh o ʔ
Gerda	ˈɡ e ɾ d a
baat	b a ˈʔ a t
sidlan	s i d ˈl a n
kanal	k a ˈn a l
mamutla	m a m u t ˈl a ʔ
trabahador	t ɾ a b a h a ˈd o ɾ
adiksiyon	ʔ a d i k s ˈj o n
batubalani	b a t u b a ˈl a n i ʔ
abyugin	ʔ a b j u ˈɡ i n
kompiyuteran	k o m p i ˈu t e ɾ a n
abuhin	ʔ a b u ˈh i n
adisyon	ʔ a d i s ˈj o n
kukis	ˈk u k i s
kandidatura	k a n d i d a ˈt u ɾ a
kawingan	k a ˈw i ŋ a n
duwag	d u ˈa ɡ
palaisipan	p a ˌl a ʔ i s i ˈp a n
himlay	h i m ˈl a j
entremetido	ʔ e n t ɾ e m e ˈt i d o
tupak	t u ˈp a k
parlamentaryo	p a ɾ l a m e n ˈt a ɾ j o
dinagipik	d i n a ˈɡ i p i k
Anunsiyasyon	ʔ a n u n s i a s ˈj o n
tugi	t u ˈɡ i ʔ
hukuman	h u ˈk u m a n
Mallare	m a l ˈj a ɾ e
dagasa	d a ɡ a ˈs a ʔ
iresponsable	ʔ i r e s p o n ˈs a b l e
Diamante	d j a ˈm a n t e
megalomanya	m e ɡ a l o ˈm a n j a
sidhi	s i d ˈh i ʔ
Tiongco	t i ˈo ŋ k o
manlait	m a n ˈl a ʔ i t
gabay	ɡ a ˈb a j
singaw	s i ˈŋ a w
gusilaw	ɡ u ˈs i l a w
kudlong	k u d ˈl o ŋ
Closa	ˈk l o s a
konektado	k o n e k ˈt a d o
GRO	ˈd j i ʔ a ɾ ʔ o
pagkaigkasin	p a ɡ k a ʔ i ɡ ˈk a s i n
Lubiano	l u b ˈj a n o
kumpensasyon	k u m p e n s a s ˈj o n
malakas	m a l a ˈk a s
diyablo	d i ˈa b l o
hangganan	h a ŋ ˈɡ a n a n
Layco	ˈl a j k o
Aliga	ʔ a ˈl i ɡ a
taglamig	t a ɡ l a ˈm i ɡ
Kaprikorniyo	k a p ɾ i ˈk o ɾ n j o
maski	m a s ˈk i
enagwas	ʔ e ˈn a ɡ w a s
kinyang	k i n ˈj a ŋ
arkitektura	ʔ a ɾ k i t e k ˈt u ɾ a
masikip	m a s i ˈk i p
kilitis	k i l i ˈt i s
habulan	h a b u ˈl a n
sawil	s a ˈw i l
masamid	m a s a ˈm i d
disko	ˈd i s k o
parinlas	p a ˈɾ i n l a s
labanderiya	l a ˌb a n d e ˈɾ i a
pasma	p a s ˈm a
hawsyaw	ˈh a w s j a w
orasyon	ʔ o ɾ a s ˈj o n
Maranan	m a ˈɾ a n a n
